ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,spk_delta,accum_bars,exit,result_r,taker_ratio
1767391200000,1767390720000,Short,Asia,89975.1,90217.6164,89490.06720000002,9.749442860549857,14.486688782284173,162.875,31,STOP,-1.0,1.338043
1767394080000,1767394020000,Short,Asia,90274.8,90420.2784,89983.84320000002,9.698869612591784,1.5783714943826963,46.501000000000005,10,TARGET,2.0,1.978198
1767405660000,1767405420000,Short,Asia,90139.4,90272.15999999999,89873.88,5.977143313997407,2.2559325450094283,31.595999999999997,19,STOP,-1.0,1.237068
1767413100000,1767412920000,Short,Asia,90334.5,90528.3648,89946.77040000001,6.0767571362121995,12.470885900457509,225.99099999999999,13,TARGET,2.0,0.386459
1767418920000,1767418740000,Long,Asia,89928.1,89828.08,90128.14000000001,-7.196700693861824,2.9426912319809433,-61.071,10,STOP,-1.0,0.888474
1767423900000,1767423720000,Short,Asia,89843.1,89985.33071999998,89558.63856000005,-6.001574075824187,1.7407335815805884,24.134,18,TARGET,2.0,1.104418
1767427620000,1767427380000,Short,London,89393.2,89743.83768,88691.92464,-6.16275542382633,2.0541888389021916,121.767,10,STOP,-1.0,1.868967
1767443400000,1767443340000,Short,London,89719.1,89835.61103999999,89486.07792000004,-2.347263020969538,3.359983378164628,50.15899999999999,11,STOP,-1.0,4.368212
1767452160000,1767451860000,Long,LondonNyOverlap,90063.1,89928.69944,90331.90112000002,3.6797206532206337,3.6037298694172497,-81.897,13,STOP,-1.0,0.74994
1767457200000,1767457080000,Short,LondonNyOverlap,89997.6,90086.5116,89819.77680000002,5.237765382171551,1.8390357698289272,28.806999999999995,21,STOP,-1.0,0.982581
1767479340000,1767479160000,Short,Asia,90582.4,90789.47351999999,90168.25296000001,10.0,3.7129368465100665,125.77000000000004,11,STOP,-1.0,3.544623
1767481260000,1767481200000,Short,Asia,90553.0,90699.50159999999,90259.99680000002,10.0,4.955561618076298,104.21199999999999,10,STOP,-1.0,2.988826
1767489780000,1767489420000,Long,Asia,91207.1,91064.88976,91491.52048,-0.9661374855659942,2.484308871163684,-129.339,24,STOP,-1.0,0.770063
1767498420000,1767498360000,Short,Asia,91250.7,91376.04239999999,91000.01520000001,1.554037128460133,1.7170487028790176,30.10799999999999,21,STOP,-1.0,2.330739
1767500820000,1767500280000,Short,Asia,91340.8,91493.93664,91034.52672000001,3.614008722378461,6.387150644924799,224.50400000000002,10,STOP,-1.0,1.3094
1767513540000,1767513420000,Short,Asia,91477.5,91573.2,91286.1,5.071288526123954,1.8327618080270882,25.274,13,TARGET,2.0,0.948363
1767520380000,1767520260000,Short,London,91402.3,91509.84936,91187.20128000002,3.9330105963842357,2.4474539239017647,50.51099999999998,12,STOP,-1.0,1.059773
1767523560000,1767523440000,Short,London,91519.9,91623.84048,91312.01903999998,6.305695803531605,4.2053535942904015,103.93899999999996,20,TARGET,2.0,0.893884
1767528540000,1767528420000,Long,London,91193.9,91087.072,91407.55599999998,-3.043045449982231,9.780072096286915,-512.456,24,STOP,-1.0,1.383919
1767530700000,1767530640000,Long,London,91099.9,90984.35424,91330.99151999998,-2.9612836877790922,2.0993098016403637,-6.548000000000002,11,STOP,-1.0,0.729779
1767536160000,1767535740000,Short,LondonNyOverlap,91285.8,91383.74855999999,91089.90288000002,0.7197263567223475,2.0723066140215645,31.986000000000004,11,TARGET,2.0,1.699397
1767538920000,1767538860000,Short,LondonNyOverlap,91300.0,91423.07999999999,91053.84000000003,0.8812770182446266,2.115344527215731,66.113,11,TARGET,2.0,1.225444
1767541680000,1767541500000,Long,LondonNyOverlap,91135.8,90977.16,91453.08,-5.597364432193842,5.494763622657764,-104.38399999999999,16,TIMEOUT,0.0,1.54712
1767544860000,1767544440000,Short,LondonNyOverlap,91264.6,91472.81975999998,90848.16048000005,2.94807659564329,2.3862426491385826,42.462,22,TIMEOUT,0.0,1.191397
1767548160000,1767548100000,Short,NewYork,91377.8,91477.02311999998,91179.35376000004,3.575275124722614,2.1291721777017036,30.260000000000005,22,TARGET,2.0,2.104314
1767551640000,1767551580000,Long,NewYork,91095.2,90980.45736,91324.68527999999,-6.203126807656834,3.7463659231843796,-82.83,20,STOP,-1.0,1.112707
