ts_ms,direction,entry,stop,target,rr,range_high,range_low,range_bars,spike_dir,vr_spike,vr_entry,delta_spike,cvd_slope,session,open_bar,exit,result_r,exit_bar
1779775440000,Long,76835.0,76751.24983999999,77002.50032000002,2.0,76910.8,76815.0,22,Down,3.079,2.054,48.66,-3.29,Asia,1880,STOP,-1.0,1903
1779877200000,Short,75938.8,76034.2788,75747.84240000001,2.0,75945.8,75841.7,15,Up,2.38,1.789,-5.53,-3.06,London,3576,TARGET,2.0,3663
1780013940000,Short,73757.0,73865.84543999999,73539.30912000002,2.0,73768.2,73583.0,20,Up,3.677,1.769,-0.25,9.82,Asia,5855,TARGET,2.0,5923
1780047000000,Short,73837.5,73925.89344,73660.71312,2.0,73846.1,73663.1,18,Up,3.514,1.799,-3.07,12.32,London,6406,TARGET,2.0,6439
1780136400000,Short,73610.2,73706.9184,73416.7632,2.0,73626.0,73558.0,22,Up,5.676,2.086,-3.48,2.39,London,7896,TIMEOUT,0.0,8016
1780455480000,Long,66587.4,66509.05016,66744.09967999998,2.0,66830.0,66572.8,36,Down,2.833,2.335,51.91,0.12,Asia,13214,STOP,-1.0,13223
1780478760000,Long,66825.6,66756.25224,66964.29552000001,2.0,67060.0,66820.0,15,Down,2.233,1.993,10.79,-58.56,London,13602,STOP,-1.0,13612
