id,created_at,ts_ms,symbol,session,regime,close,atr,funding_pct,obi_fast,obi_slow,obi_l5,l5_l10_div,cvd_session,cvd_slope,dz,vr,spread_ticks,absorption_long,absorption_short,liq_ratio,signal_fired,signal_score,blocked_by,datetime_utc
1,2026-06-01T03:10:00.197774+00:00,1780283340000,BTCUSDT,Asia,Expansion,73941.6015625,44.0440848214286,7.007e-05,0.411965093109265,0.437672953286694,0.443369180527469,0.0314040874182033,0.205002441885881,-5.81932117143879,-0.170345186192656,0.225898669816332,1,10.5687713820706,14,1.08273406423242,,,circuit_breaker,2026-06-01 03:09:00
2,2026-06-01T03:11:00.360886+00:00,1780283400000,BTCUSDT,Asia,Expansion,73894.296875,45.6941964285714,7.007e-05,0.147209887032336,0.281825276719243,0.217028299256105,0.0698184122237696,-51.5329978077207,-10.2372855276307,-1.30129093901314,0.512205252640401,1,15.7029220779221,14,0.975064856265171,,,circuit_breaker,2026-06-01 03:10:00
3,2026-06-01T03:12:00.218478+00:00,1780283460000,BTCUSDT,Asia,Expansion,73914.796875,46.3794642857143,7.03e-05,0.377493276374212,0.636783630341384,0.36520222955825,-0.0122910468159627,-39.5949980500154,-10.8206498748312,0.312617256036136,0.410991986160749,1,14.276397515528,14,0.952911568547237,,,circuit_breaker,2026-06-01 03:11:00
4,2026-06-01T03:13:00.538858+00:00,1780283520000,BTCUSDT,Asia,Expansion,73872.5,48.1434151785714,7.029e-05,0.606652844381086,0.36315325799768,0.453142940288347,-0.15350990409274,-56.9399979016744,-11.4735089957785,-0.450175676141794,0.222031374295449,1,14.1923714759536,14,0.936489157788616,,,circuit_breaker,2026-06-01 03:12:00
5,2026-06-01T03:14:00.677294+00:00,1780283580000,BTCUSDT,Asia,Expansion,73864.5,47.2075892857143,7.028e-05,0.0650448860714448,0.372958319151005,0.0685231100641442,0.00347822399269945,-62.0949980260339,-15.1665818615252,-0.101329501322037,0.198302425894905,1,25.8021685371885,14,0.908464544749185,,,circuit_breaker,2026-06-01 03:13:00
6,2026-06-01T03:15:00.431302+00:00,1780283640000,BTCUSDT,Asia,Expansion,73849.8984375,44.921875,7.028e-05,0.803594846075886,0.797516479686502,0.808442704108663,0.00484785803277699,-68.6669981457526,-13.4806606423307,-0.137013737321303,0.28139779617358,1,14,14,0.875098961575473,,,circuit_breaker,2026-06-01 03:14:00
7,2026-06-01T03:16:00.494014+00:00,1780283700000,BTCUSDT,Asia,Expansion,73887.6953125,44.96484375,7.027e-05,0.500400109651962,0.422911696786348,0.510574889203286,0.0101747795513236,0,,0,1,1,6,6,0.700871107997953,,,dz_low,2026-06-01 03:15:00
8,2026-06-01T03:17:00.723537+00:00,1780283760000,BTCUSDT,Asia,TrendUp,73852.8984375,48.4720982142857,7.025e-05,0.778533962480259,0.843027028580096,0.715681823429834,-0.0628521390504246,-10.8309997152537,,0,1.14568527238748,1,6,14.7428352238479,0.672125016653483,S1_OBI_Long,55.7067924960518,,2026-06-01 03:16:00
9,2026-06-01T03:18:00.276463+00:00,1780283820000,BTCUSDT,Asia,TrendUp,73862,44.2645089285714,7.025e-05,0.674715150201515,0.652125144927948,0.674435770661542,-0.000279379539972591,-12.6449997915188,,0.224552745534116,0.771204608451738,1,6,17.8751850222027,0.658900680437338,S1_OBI_Long,55,,2026-06-01 03:17:00
10,2026-06-01T03:19:00.547868+00:00,1780283880000,BTCUSDT,Asia,Chop,73810,43.1077008928571,7.042e-05,0.449290784666961,0.469238288866254,0.45174085943463,0.00245007476766951,-27.3700000115205,,-1.22140639864393,5.27300537653711,1,23.3120376211504,24,0.614629357740188,,,dz_low,2026-06-01 03:18:00
11,2026-06-01T03:20:00.249522+00:00,1780283940000,BTCUSDT,Asia,Chop,73894.6015625,47.1506696428571,7.046e-05,0.654017920335339,0.611994814778355,0.86572437930052,0.211706458965181,-53.3139987789327,-12.3166997854132,-1.56199761502518,1.34749177878437,1,7.65326973400483,14.7439713803022,0.591145165466647,S1_OBI_Long,55,,2026-06-01 03:19:00
