ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,exit,result_r,m_taker,m_oi_d,m_tt
1686336420000,1686336240000,Short,NewYork,26417.0,26485.97184,26279.056320000003,-4.943957759771732,1.746797038733878,STOP,-1.0,0.622715148,-55.12399999999616,1.3136119238
1686337560000,1686337260000,Short,NewYork,26429.5,26494.178399999997,26300.143200000006,-4.2963393008581825,2.256675279418538,TIMEOUT,0.0,1.6081069398,20.036999999996624,1.3125603465
1686338040000,1686337920000,Long,NewYork,26428.3,26386.27408,26512.35184,-6.173772493405793,2.645353893506566,STOP,-1.0,0.6485895364,6.971000000005006,1.3121176221
1686347100000,1686346920000,Short,NewYork,26471.8,26511.192,26393.016,-2.874691072767586,4.3675842443102955,TIMEOUT,0.0,4.3962663805,72.34199999998964,1.3110155165
1686352800000,1686352740000,Long,Asia,26449.7,26419.8472,26509.405600000002,-6.790046919963222,1.7393660973273721,STOP,-1.0,0.5190282089,17.3240000000078,1.3074812605
1686355200000,1686354840000,Short,Asia,26469.5,26502.785279999996,26402.929440000007,-3.3706572503864627,1.5718267391331893,TARGET,2.0,1.5071248875,-15.290999999997439,1.3096071444
1686356700000,1686356460000,Long,Asia,26468.5,26426.74168,26552.01664,-2.879484461943979,1.8645071246500355,STOP,-1.0,0.626594496,-3.6560000000026776,1.3082853112
1686357600000,1686357540000,Long,Asia,26451.4,26424.3436,26505.512800000004,-2.2525155576992053,2.1804922497001065,STOP,-1.0,1.9550710018,-20.75099999998929,1.3090681972
1686395460000,1686395340000,Short,London,25667.3,25725.564,25550.772,-9.250294351781953,1.982352602780011,STOP,-1.0,0.4220351313,101.66399999998976,1.2406321338
1686398640000,1686398580000,Long,London,25697.9,25656.25856,25781.182880000008,-10.0,1.823506909930893,STOP,-1.0,0.5049981351,15.004000000000815,1.2387789654
1686400620000,1686400380000,Short,London,25604.1,25682.92992,25446.44016,-10.0,1.9302292559976477,STOP,-1.0,1.2639299828,10.267999999996391,1.2424222639
1686402180000,1686402060000,Long,LondonNY,25611.4,25564.532,25705.136000000006,-10.0,1.9318678449292874,STOP,-1.0,0.6906159962,-60.51600000000326,1.2430941034
1686402780000,1686402660000,Long,LondonNY,25595.9,25539.0524,25709.595200000003,-10.0,3.806750192405275,TIMEOUT,0.0,1.0619627521,51.33499999999185,1.2424685312
1686412800000,1686412260000,Long,LondonNY,25627.1,25562.23384,25756.832319999994,-10.0,6.680991475972431,STOP,-1.0,1.0967361745,36.304999999993015,1.2418682485
1686413100000,1686412980000,Long,LondonNY,25639.5,25575.822959999998,25766.854080000005,-10.0,2.099448017359917,STOP,-1.0,1.3513566184,5.890999999988708,1.2413160824
