symbol,side,kind,gestion,reason,result_r,mfe_r,mae_r,filled1,tp1,entry,stop,mfe,mae,tp1_touched,tp1_before_stop,tp2_touched,my_r,my_reason,my_f1,r_nopartial,reason_np,tp1_dist_R,db_filled1,mfe_err,mae_err
ETHUSDT,short,poc_ob,fade,target,5.9247,5.9701,0.196,False,1613.37,1635.90921,1651.40210723521,5.480524959981722,0.2517792470174511,True,True,False,3.42833528872111,target,True,5.444097707194072,target,1.4548092366336978,False,0.4895750400182788,0.05577924701745107
ETHUSDT,long,poc_ob,fade,stop,-1.0395,1.7688,1.0001,False,1678.590963,1608.002613,1575.61383494979,1.6054136688760543,0.9951784210578182,False,False,False,-1.0372351793538004,stop,False,-1.0372351793538004,stop,2.179407629721995,False,0.16338633112394563,0.004921578942181815
ETHUSDT,short,poc_ob,fade,target,5.9247,5.9701,0.196,False,1613.37,1635.90921,1651.40210723521,5.480524959981722,0.2517792470174511,True,True,False,3.42833528872111,target,True,5.444097707194072,target,1.4548092366336978,False,0.4895750400182788,0.05577924701745107
SOLUSDT,long,poc_ob,trail,trail,-1.5405,0.7387,1.0712,False,69.428958,66.466764,66.3065579326017,-0.10464023162317278,0.9785147500703638,False,False,False,-1.3111622038388009,trail,False,,,18.48989896640818,False,0.8433402316231728,0.09268524992963612
SOLUSDT,short,poc_ob,fade,target,6.3164,6.3632,0.1527,False,67.36,68.380693,68.9654140422664,6.294784579213079,0.15273436997212647,True,True,False,4.007621674973566,target,True,6.316414932639361,target,1.7456067529975239,False,0.06841542078692076,3.436997212646897e-05
SOLUSDT,long,poc_ob,fade,stop,-1.0783,6.3652,1.0006,False,70.099078,65.718728,65.000378505865,5.444803722886677,0.9866061099596236,False,False,False,-1.0686142976398298,stop,False,-1.0686142976398298,stop,6.097797848768051,False,0.9203962771133227,0.013993890040376322
SOLUSDT,short,poc_ob,fade,target,7.5514,11.6234,0.8519,True,67.36,68.549768,68.9300879711234,10.122445026035463,0.8683004445560606,True,True,False,6.605880005141369,target,True,10.155522681050124,target,3.1283342720226717,True,1.5009549739645376,0.0164004445560606
BTCUSDT,short,poc_def_short,fade,target,11.0375,17.3832,0.2328,True,60650.0,61302.83742,61431.5271959629,17.345880069319197,0.2328279754612173,True,True,False,11.037522401480468,target,True,17.192634523428357,target,5.07295482578363,True,0.03731993068080186,2.797546121729999e-05
BTCUSDT,short,poc_ob,fade,target,4.8387,4.8912,0.0674,False,60650.0,61351.40374,61818.6953552483,4.880900203587153,0.06740172297605632,True,True,False,3.14356844970019,target,True,4.838655573356595,target,1.5009979146047847,False,0.010299796412847506,1.7229760563147734e-06
BTCUSDT,short,poc_ob,fade,target,31.0097,44.4207,0.6225,True,60624.2,61703.50956,61788.4300366774,31.004413340754997,0.7335149593735504,True,True,False,21.59465217255517,target,True,30.77029543890276,target,12.70965027787299,True,13.416286659245,0.11101495937355033
