bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1752848100000,short,119060.0,401.4655710462665,1.4940625574774042,False,H5,trend,-0.267,0.0949,-1.0115,3.0,-6.036,0.1868,0.0,0.0464,0.0403,-10.731,0.0272,-0.3688,9.0,0.972,0.093,0.0,-0.2211,-3.1093,-3.527,0.6994,-0.4504,9.0,-4.182,0.0455,0.0,-0.052,-1.9324
1753119900000,long,117450.0,384.16737041203044,1.6033276571590482,False,H5,chop,-8.093,1.3017,1.6356,13.0,-2.171,0.4164,0.0,-0.4349,-0.7963,-153.775,7.0957,8.6227,4.0,3.179,0.2684,1.0,0.1202,0.4159,-161.868,4.11,7.3939,11.0,3.179,0.1306,1.0,-0.241,-2.7073
1753128000000,long,116730.0,377.6215785150327,1.619293811930664,False,H5,chop,11.873,0.092,0.4747,5.0,-0.044,0.1911,0.0,-0.0591,-0.0689,-0.065,1.0119,0.0654,4.0,-0.109,0.1659,0.0,0.1431,0.2831,-0.065,1.0119,-0.5689,4.0,-0.109,0.1025,0.0,0.1594,1.3081
1753149600000,short,117780.0,376.02594184391603,1.013476579924466,False,H5,chop,-0.879,0.6752,-0.4488,2.0,0.364,0.2917,0.0,-0.0914,-0.056,-0.117,0.5084,-1.1227,2.0,3.479,0.1062,0.0,-0.5615,-1.3493,-0.117,0.5084,-1.0207,3.0,3.479,0.0942,0.0,-0.4096,-3.6367
1753306200000,long,117470.0,369.88011167857826,1.412018671433819,False,H5,chop,-0.704,1.0374,1.764,4.0,5.214,0.3209,0.0,-0.2493,-0.3296,-1.43,26.5357,-0.8717,5.0,-8.9,0.0988,0.0,0.1369,0.3037,-2.134,1.1131,1.6053,5.0,-8.9,0.1009,0.0,-0.0378,-0.2724
1753455600000,long,114960.0,459.68602817922954,10.439561586638707,False,H5,chop,-0.378,1.0829,-0.3408,5.0,-1.176,0.2501,0.0,-0.0521,-0.0985,-0.457,2.7376,-0.5632,4.0,-0.956,0.2495,0.0,0.1858,0.6209,-0.457,2.7376,-0.8434,4.0,-0.956,0.1141,0.0,0.1052,0.9076
1753821900000,long,117170.0,360.47330411253085,1.4337455996958528,False,H5,chop,-5.232,6.2477,-0.0275,4.0,-3.582,0.399,0.0,-0.022,-0.0185,-1.49,2.6022,-0.4503,4.0,0.526,0.2406,0.0,0.2422,0.4432,-17.84,3.4137,0.0147,6.0,-3.861,0.086,0.0,-0.0767,-1.1501
1753887600000,short,118700.0,362.8384012709164,2.4773799494523523,False,H5,chop,21.778,2.6772,3.6296,7.0,-1.322,0.2173,1.0,0.1572,0.2207,1.363,4.3489,-0.8054,6.0,0.224,0.1378,0.0,-0.2545,-0.8895,1.363,4.3489,-0.9812,6.0,0.224,0.063,0.0,-0.1685,-1.4212
1753902900000,long,116190.0,405.7528355702462,1.8483103706987825,False,H5,chop,8.728,0.1339,-0.3095,3.0,-0.261,0.1377,0.0,0.3496,1.1309,25.29,0.3637,0.631,3.0,1.31,0.133,0.0,0.2187,1.2415,17.682,0.6515,0.5424,7.0,5.33,0.0647,0.0,0.0572,2.1038
1753983000000,long,117790.0,311.2912786740001,-1.5000000000000067,False,H5,chop,18.05,0.2422,0.8906,10.0,-13.967,0.2374,0.0,-0.0991,-0.2642,6.881,0.3715,-0.0117,4.0,-0.048,0.1484,0.0,0.1833,0.7326,34.24,0.238,1.4,18.0,-0.215,0.0692,0.0,-0.0205,-0.2871
