bar_ts,side,lvl,atr,r,oos,kind,regime,delta_at_fill,delta_norm,fill_found,ticks_until_fill,fill_frac
1756771200000,short,109200.0,345.6065188878092,-1.264362715178444,False,H5,chop,6.666,0.0193,True,185,0.015
1756782900000,short,110360.0,365.18273766851064,-1.5000000000000193,False,H5,chop,8.165,0.0224,True,1009,0.032
1756922400000,short,112280.0,337.3742470946922,3.723219789488528,False,H5,chop,4.915,0.0146,True,1097,0.088
1757524500000,short,113960.0,304.5834208335437,-1.4999999999999931,False,H5,trend,-4.616,-0.0152,True,1285,0.055
1758043800000,short,116770.0,306.9233695840715,-1.5000000000000033,False,H5,chop,24.325,0.0793,True,1052,0.026
1758522600000,long,112750.0,403.31419399423334,-1.2306489779541347,False,H5,chop,-40.42,-0.1002,True,866,0.021
1758551400000,short,113350.0,318.67139683907266,6.876988678135795,False,H5,chop,23.021,0.0722,True,3677,0.151
1758617100000,long,113000.0,209.2371616367225,-1.5,False,H5,chop,-22.095,-0.1056,True,919,0.134
1758650400000,long,111870.0,295.6341424077629,-1.5000000000000209,False,H5,chop,-140.586,-0.4755,True,2130,0.088
1758687300000,long,111340.0,306.855268560784,2.4371517098341933,False,H5,trend,183.579,0.5983,True,10417,0.326
1758814200000,long,110860.0,398.0764104546847,1.6550996651152043,False,H5,chop,75.753,0.1903,True,4452,0.164
1758895200000,short,109680.0,349.3390039963761,1.762369969042905,False,H5,chop,15.664,0.0448,True,1598,0.056
1759515300000,long,121980.0,630.264992859923,-0.5417700260848579,False,H5,chop,-2.618,-0.0042,True,100,0.003
1759633200000,short,124060.0,307.06511825428254,-1.5000000000000093,False,H5,chop,17.7,0.0576,True,751,0.027
1759764600000,short,125130.0,401.05348656174704,-1.2556711109054184,False,H5,chop,-10.529,-0.0263,True,12160,0.594
1759777200000,short,126000.0,404.1987261498695,10.669402102389348,False,H5,chop,-63.518,-0.1571,True,6169,0.15
1759845600000,short,123880.0,406.9402357097074,8.68759583016422,False,H5,trend,70.967,0.1744,True,1461,0.016
1759858200000,long,121220.0,525.3400570413887,-1.4999999999999951,False,H5,chop,-1.811,-0.0034,True,9051,0.555
1759931100000,long,121790.0,404.43081920335794,1.4308234712182482,False,H5,chop,-113.393,-0.2804,True,1881,0.035
1760024700000,long,120730.0,495.9088308502927,-1.499999999999997,False,H5,chop,-23.872,-0.0481,True,1246,0.04
1760103900000,short,122220.0,319.84272886412987,4.684381941477756,False,H5,chop,3.921,0.0123,True,179,0.003
1760116500000,long,117800.0,587.8020799660803,-1.2546472620999696,False,H5,chop,261.256,0.4445,True,19007,0.427
1760156100000,short,112440.0,983.8066380438376,0.9735904994474588,False,H5,chop,13.141,0.0134,True,768,0.032
1760183100000,long,112280.0,491.80418612074664,-1.3204934903668386,False,H5,chop,-5.134,-0.0104,True,141,0.011
