bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1753880400000,short,3781.4052,18.709785281384903,1.355455904769668,False,H5,chop,-89.27,0.3879,-0.4503,0,89.27,0.5841,0.0,-0.2919,-32.2708,201.13,4.4547,-0.5908,2,-0.84,0.3807,0.0,0.0548,44.1683,194.06,3.9261,-1.2292,2,-0.84,0.1668,0.0,-0.0324,-149.2738
1754037000000,long,3602.1843,25.22645701955096,2.2517155473872252,False,H5,chop,7.94,0.9344,-0.8236,0,56.92,0.6489,0.0,-0.0525,-21.4025,16.25,0.6634,-1.4828,5,-296.78,0.1754,0.0,0.0062,15.9824,-1654.41,1.9646,0.4197,5,-296.78,0.1509,0.0,-0.1193,-1118.0294
1754411400000,short,3586.51,23.394334206635932,-1.35493209010163,False,H5,chop,27.23,1.4509,-0.6618,2,-127.35,0.641,0.0,0.4241,113.5848,331.88,1.6384,-0.0397,1,-39.14,0.2345,0.0,-0.3306,-658.7775,978.64,1.9484,-0.2549,1,-39.14,0.1913,0.0,-0.0968,-481.9329
1754573400000,long,3830.5633,19.009455915618826,-1.2929860212608508,False,H5,trend,-815.44,2.6531,0.3601,1,-176.24,0.6031,0.0,-0.0923,-63.2654,140.83,0.8349,-0.22,2,-18.86,0.2046,0.0,0.2378,882.6718,-1490.17,1.7936,0.6679,2,-176.24,0.1139,0.0,-0.0024,-21.3315
1754665200000,short,3985.0436,24.313593718398288,3.1101959888217787,False,H5,chop,221.94,22.1573,-0.7429,5,-221.94,0.3894,0.0,0.3529,180.2099,516.36,4.3869,-0.4942,2,-67.82,0.1752,0.0,-0.1942,-436.3485,516.36,4.3869,-0.732,2,-67.82,0.1647,0.0,-0.0516,-358.3469
1754670600000,short,3966.2735000000002,23.980721739335344,-1.18497476908922,False,H5,chop,-6.6,0.8649,-0.9825,3,-28.78,0.4396,0.0,-0.0353,-16.6067,34.37,1.113,-0.2986,1,-84.04,0.5227,0.0,-0.2159,-128.7693,906.0,1.5437,0.7513,3,-28.78,0.2303,0.0,-0.075,-246.0802
1754826300000,short,4213.374,21.48039082615239,-1.2201176506733338,False,H5,trend,56.44,1.0654,2.5727,9,-394.47,0.2994,1.0,0.3951,297.1287,511.33,3.8097,0.3744,4,-74.83,0.2181,0.0,-0.3318,-427.4066,567.77,1.5435,1.3646,2,-394.47,0.1276,0.0,-0.0078,-27.0312
1754878500000,short,4318.105,22.54320025388213,0.32287447178502815,False,H5,chop,9.12,1.2992,-0.9849,2,-9.12,0.5898,0.0,0.0891,48.7766,-70.25,0.711,-1.0188,1,21.64,0.1975,0.0,-0.0529,-113.1876,333.23,1.1532,0.4369,6,-180.93,0.18,0.0,-0.0078,-61.7925
1754935200000,long,4282.7293,29.205060711819698,-1.5000000000000322,False,H5,chop,-8.31,1.2446,-2.165,2,-8.31,0.4493,0.0,-0.0244,-2.3746,-1174.01,2.2336,1.041,6,-55.95,0.1604,0.0,-0.3018,-729.743,-1914.68,2.4471,0.4372,12,-55.95,0.1399,0.0,-0.1227,-693.5836
1755009900000,long,4397.959199999999,31.696032684894007,2.5375197480007783,False,H5,chop,189.66,0.4847,0.346,1,-3.05,0.5285,0.0,0.1709,22.0674,-112.85,2.431,-0.7414,4,16.34,0.2688,0.0,-0.0766,-94.986,870.04,0.7627,1.7685,2,-67.46,0.1422,0.0,0.0455,215.6743
