bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1740416400000,long,94440.0,427.9918275966678,0.9479315581562281,False,H5,chop,9,0.25,2,2.0,1,1.25,1,0,fresca
1740446100000,long,91610.0,637.8012831705311,0.29999874305624097,False,H5,chop,7,0.25,2,1.25,1,1.3125,1,0,fresca
1740469500000,long,89020.0,639.1920769233271,-1.0614440656235142,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1740587400000,long,86800.0,651.0394014642524,-1.0883598637570358,False,H5,chop,16,0.25,9,2.5,4,1.125,9,3,confirmada
1740592800000,long,85900.0,679.9280593441964,-1.1464264397807427,False,H5,chop,3,0.25,2,4.0,2,1.5,2,1,fresca
1740615300000,short,84400.0,704.4738548093849,-1.174371296033869,False,H5,chop,94,0.25,47,1.25,19,1.0625,6,2,agotada
1740633300000,short,85510.0,495.06265720599043,-1.3567561149633154,False,H5,chop,60,0.25,41,1.25,19,1.3125,5,3,agotada
1740710700000,long,79500.0,881.9323014346201,-1.186571206666948,False,H5,trend,1,0.25,0,0.0,0,0.0,0,0,virgen
1740753000000,long,81710.0,681.5385955365703,8.454219226578221,False,H5,trend,52,0.25,13,1.5,3,1.625,1,0,confirmada
1740930300000,short,88210.0,600.228202522746,-1.102815720078219,False,H5,chop,1,0.25,0,0.0,0,0.0,0,0,virgen
1740940200000,short,93530.0,1054.6399394258208,-1.0807072359774885,False,H5,trend,4,0.25,1,1.5,0,0.0,0,0,virgen
1740985200000,long,91580.0,509.67251344913467,-1.172480846822502,False,H5,chop,43,0.25,35,14.0,17,3.75,3,2,agotada
1740990600000,long,91890.0,485.36325785133425,-1.1648188782731832,False,H5,chop,44,0.25,35,1.5,17,1.125,3,2,agotada
1741048200000,short,86390.0,737.1796038785312,2.4364449189637867,False,H5,trend,94,0.25,40,1.5,14,1.125,12,7,agotada
1741053600000,long,83160.0,902.2190037629588,-1.0714715641354888,False,H5,trend,2,0.25,0,0.0,0,0.0,0,0,virgen
1741135500000,long,86590.0,619.0180236348745,5.102900766074345,False,H5,chop,78,0.25,28,3.75,13,1.1875,7,5,agotada
1741188600000,long,88020.0,714.6410005402568,-1.1857692298868854,False,H5,chop,74,0.25,41,1.5,14,1.875,5,6,agotada
1741230000000,short,91790.0,520.4468011466274,-1.209878184039896,False,H5,chop,4,0.25,1,2.0,5,15.75,0,4,agotada
1741297500000,long,89190.0,643.2779947559541,0.8177334572239666,False,H5,chop,24,0.25,27,1.75,15,1.4375,10,5,agotada
1741305600000,long,89890.0,653.8935428061163,-1.3558151439073478,False,H5,trend,44,0.25,36,2.0,17,2.0,15,7,agotada
1741314600000,long,87460.0,1017.4871898982758,-1.1614957030691104,False,H5,chop,8,0.25,10,1.5,11,8.625,5,6,agotada
1741547700000,long,82320.0,556.0759246093787,1.2906687077457777,False,H5,chop,10,0.25,3,1.25,0,0.0,2,0,virgen
1741574700000,short,82390.0,602.5464420653543,0.695592938437484,False,H5,chop,79,0.25,43,5.75,19,1.6875,2,1,agotada
1741605300000,long,82090.0,573.2416295786829,1.1000399380517332,False,H5,chop,62,0.25,18,1.25,4,1.8125,12,3,confirmada
1741655700000,long,77000.0,715.7137891914334,5.447982893080352,False,H5,trend,3,0.25,1,1.25,0,0.0,0,0,virgen
1741661100000,long,79090.0,660.5383914883079,0.8912443184811955,False,H5,chop,41,0.25,11,1.75,3,1.6875,6,2,confirmada
1741787100000,short,83470.0,529.9321020815723,1.7645244694430808,False,H5,trend,18,0.25,7,1.75,9,3.4375,6,9,agotada
1741792500000,long,80840.0,593.2181708296832,1.7768545917334475,False,H5,chop,9,0.25,24,22.25,10,5.8125,9,6,agotada
1741874400000,long,81730.0,466.5283203066514,-1.2157359351448789,False,H5,chop,14,0.25,14,20.0,12,5.5,9,8,agotada
1742154300000,long,83100.0,434.9138011096569,-1.1618711551187826,False,H5,chop,24,0.25,6,3.75,9,1.9375,3,3,agotada
1742218200000,long,82850.0,368.5399848179658,-1.5000000000000235,False,H5,chop,47,0.25,16,1.5,8,2.375,11,8,agotada
1742223600000,long,82840.0,433.9222181525158,0.5513182250909954,False,H5,trend,44,0.25,16,2.0,8,2.75,11,8,agotada
1742307300000,long,81220.0,304.801943276323,1.7995759168557075,False,H5,chop,3,0.25,1,1.25,0,0.0,0,0,virgen
1742406300000,long,83940.0,317.67350036087345,2.0126995472956555,False,H5,chop,88,0.25,45,2.75,19,1.4375,7,4,agotada
