sym,ts,ts_ms,session,direction,close,range_bars,range_pct,cvd_rng,vr,ext_pct,pre_cvd_ok,score,result_r,bars_held,reason,cum_delta,last5_delta,avg_obi,avg_vpin,expansion_n,stacked_bear,stacked_bull,oi_mom_n,vr_brk,dz_dir,obi_brk,flags
BNBUSDT,06-08 20:09,1780949340000,NewYork,Short,606.93,15,0.226,-488.0,2.88,0.02,False,2.0,1.0,55,STOP,121.0,3.0,0.032,0.375,0,13,12,9,2.83,-2.32,0.434,rango_limpio|vr_bajo(2.8x)
BNBUSDT,06-09 08:05,1780992300000,London,Short,603.05,20,0.269,-142.0,2.24,0.023,True,0,0.443,60,TIMEOUT,83.0,-471.0,0.033,0.336,12,9,15,7,2.24,-0.5,0.355,pre_cvd_ok|vr_bajo(2.2x)|STACKED_CONTRA
BNBUSDT,06-09 09:33,1780997580000,London,Short,600.33,15,0.375,-293.0,4.77,0.195,True,4.0,0.395,60,TIMEOUT,-480.0,-88.0,0.132,0.34,15,13,12,7,4.77,-5.23,0.906,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.8x)
BNBUSDT,06-09 11:14,1781003640000,London,Short,598.92,15,0.252,-37.0,3.36,0.013,True,3.0,1.0,49,STOP,-152.0,-103.0,-0.013,0.344,4,13,12,9,3.36,-2.67,0.916,presion_vendedora_leve|pre_cvd_ok|vr_ok(3.4x)
BNBUSDT,06-09 13:19,1781011140000,LondonNyOverlap,Short,595.34,15,0.45,-125.0,7.63,0.136,True,3.0,1.544,60,TIMEOUT,-10.0,-227.0,-0.137,0.246,2,13,12,10,7.63,-4.48,0.915,rango_ok|presion_vendedora_leve|pre_cvd_ok|vr_fuerte(7.6x)|VPIN_TOXICO
BNBUSDT,06-09 16:05,1781021100000,LondonNyOverlap,Short,585.76,15,0.526,-1354.0,3.34,0.082,True,4.0,1.0,31,STOP,-1462.0,-466.0,0.082,0.291,0,19,6,7,3.34,-4.44,0.17,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.3x)|VPIN_TOXICO
BNBUSDT,06-09 18:18,1781029080000,NewYork,Long,595.42,20,0.39,30.0,5.11,0.258,True,1.0,-0.431,60,TIMEOUT,-201.0,185.0,0.032,0.281,6,10,15,0,5.11,-5.19,-0.605,pre_cvd_ok|vr_fuerte(5.1x)|VPIN_TOXICO
BNBUSDT,06-09 19:56,1781034960000,NewYork,Long,597.02,15,0.439,379.0,3.49,0.023,True,3.0,0.011,60,TIMEOUT,11.0,36.0,-0.155,0.315,9,14,11,0,3.47,-2.31,-0.04,presion_compradora_leve|pre_cvd_ok|vr_ok(3.5x)
BNBUSDT,06-10 08:02,1781078520000,London,Short,587.43,15,0.214,-762.0,7.15,0.105,True,6.0,1.362,60,TIMEOUT,-856.0,-450.0,0.112,0.292,0,16,8,10,7.15,-3.73,-0.545,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(7.2x)|obi_alineado|VPIN_TOXICO
BNBUSDT,06-10 09:13,1781082780000,London,Short,583.68,45,0.487,-1219.0,5.91,0.057,True,3.0,-0.262,60,TIMEOUT,867.0,-195.0,-0.069,0.319,3,10,15,3,5.91,-4.02,-0.453,COMPRADORES_DOMINAN|pre_cvd_ok|vr_fuerte(5.9x)|obi_alineado|STACKED_CONTRA
BNBUSDT,06-10 10:30,1781087400000,London,Long,585.9,15,0.341,18.0,2.25,0.089,True,0,-1.0,33,STOP,-13.0,19.0,-0.14,0.293,9,11,14,2,2.25,-2.3,0.241,pre_cvd_ok|vr_bajo(2.2x)|obi_alineado|VPIN_TOXICO
BNBUSDT,06-10 12:30,1781094600000,London,Long,588.38,15,0.348,206.0,19.71,0.492,True,7.0,0.582,60,TIMEOUT,234.0,227.0,0.032,0.265,0,14,11,15,19.71,-6.46,-0.134,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_fuerte(19.7x)
BNBUSDT,06-10 13:53,1781099580000,LondonNyOverlap,Short,593.79,15,0.504,-3840.0,2.19,0.037,True,1.0,0.667,60,TIMEOUT,101.0,-1985.0,-0.227,0.293,23,11,14,19,2.19,-1.58,-0.925,pre_cvd_ok|vr_bajo(2.2x)|obi_alineado|STACKED_CONTRA
BNBUSDT,06-10 15:01,1781103660000,LondonNyOverlap,Long,594.78,15,0.526,158.0,3.68,0.175,False,3.0,0.369,60,TIMEOUT,-289.0,-290.0,-0.218,0.341,0,16,9,0,3.68,-3.95,-0.476,rango_limpio|PRE_CVD_CONTRA|vr_ok(3.7x)
BNBUSDT,06-10 17:12,1781111520000,NewYork,Short,591.69,15,0.433,-78.0,2.66,0.027,True,4.0,0.577,60,TIMEOUT,-252.0,-52.0,0.037,0.327,19,14,9,6,2.68,-2.2,-0.616,presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.7x)|obi_alineado
BNBUSDT,06-10 18:50,1781117400000,NewYork,Short,587.77,15,0.357,-725.0,5.56,0.015,False,3.0,1.0,7,STOP,-188.0,167.0,0.02,0.383,10,16,9,2,5.56,-2.56,0.893,presion_vendedora_leve|PRE_CVD_CONTRA|vr_fuerte(5.6x)
BNBUSDT,06-10 21:11,1781125860000,NewYork,Short,584.72,15,0.434,-1194.0,3.07,0.048,True,4.0,0.383,60,TIMEOUT,-1514.0,-1782.0,0.096,0.422,13,16,9,0,3.07,-0.89,0.453,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.1x)
SOLUSDT,06-06 14:58,1780757880000,LondonNyOverlap,Short,62.39,15,0.449,-18159.0,2.45,0.288,True,5.0,2.0,20,TARGET,-12138.0,-14473.0,0.039,0.231,0,13,11,16,2.95,-3.19,0.242,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.9x)
SOLUSDT,06-07 08:05,1780819500000,London,Short,64.61,15,0.433,-18513.0,5.93,0.031,True,8.0,1.0,31,STOP,-27618.0,-41112.0,0.049,0.278,0,12,11,10,5.93,-3.33,-0.17,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(5.9x)|obi_alineado
SOLUSDT,06-07 09:15,1780823700000,London,Long,66.01,15,0.439,51136.0,2.31,0.076,False,3.0,-1.0,8,STOP,257305.0,-5789.0,0.089,0.259,15,7,15,9,2.31,-2.14,0.397,presion_compradora_fuerte|PRE_CVD_CONTRA|vr_bajo(2.3x)|obi_alineado
SOLUSDT,06-07 11:36,1780832160000,London,Long,64.97,15,0.508,11177.0,2.46,0.185,True,6.0,-1.0,33,STOP,18256.0,6972.0,0.082,0.24,0,10,12,15,2.46,-0.43,0.155,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.5x)|obi_alineado
SOLUSDT,06-07 14:17,1780841820000,LondonNyOverlap,Long,64.55,20,0.434,11686.0,2.6,0.031,False,3.0,2.0,14,TARGET,7003.0,-2354.0,-0.013,0.28,5,14,6,16,2.6,-2.94,0.153,presion_compradora_fuerte|PRE_CVD_CONTRA|vr_bajo(2.6x)|obi_alineado
SOLUSDT,06-07 18:49,1780858140000,NewYork,Short,65.02,15,0.277,-14636.0,3.8,0.276,True,2.0,2.0,9,TARGET,-15590.0,-2908.0,0.005,0.28,5,12,6,12,3.8,-3.59,0.07,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.8x)|VPIN_TOXICO
SOLUSDT,06-08 08:20,1780906800000,London,Short,65.64,15,0.366,-12291.0,3.98,0.107,False,4.0,1.0,56,STOP,-35319.0,16286.0,-0.014,0.313,0,16,8,4,3.98,-4.97,-0.167,rango_limpio|presion_vendedora_fuerte|PRE_CVD_CONTRA|vr_ok(4.0x)|obi_alineado|VPIN_TOXICO
SOLUSDT,06-08 11:10,1780917000000,London,Long,66.46,15,0.316,3729.0,3.8,0.378,True,4.0,-0.457,60,TIMEOUT,-10643.0,16961.0,0.113,0.292,1,12,7,4,3.8,-2.57,0.489,rango_ok|pre_cvd_ok|vr_ok(3.8x)|obi_alineado
SOLUSDT,06-08 16:55,1780937700000,LondonNyOverlap,Short,66.92,15,0.523,-30318.0,2.64,0.075,True,4.0,-0.625,60,TIMEOUT,-89386.0,-6842.0,-0.02,0.358,12,16,9,0,2.64,-2.97,-0.079,presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.6x)|obi_alineado
SOLUSDT,06-08 19:39,1780947540000,NewYork,Short,67.49,15,0.415,-11396.0,3.23,0.03,True,6.0,0.767,60,TIMEOUT,-6651.0,-30851.0,0.289,0.316,0,11,11,0,3.27,-2.95,-0.034,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.3x)
SOLUSDT,06-09 08:06,1780992360000,London,Short,66.58,15,0.436,-15949.0,4.67,0.06,True,5.0,-0.182,60,TIMEOUT,-8767.0,-22613.0,-0.061,0.285,2,9,12,0,4.67,-1.46,-0.513,rango_ok|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.7x)|obi_alineado|STACKED_CONTRA
SOLUSDT,06-09 09:16,1780996560000,London,Long,66.74,15,0.405,4749.0,4.73,0.03,True,5.0,-1.0,12,STOP,9704.0,2016.0,-0.064,0.32,2,8,12,12,4.73,-4.21,0.019,rango_ok|presion_compradora_fuerte|pre_cvd_ok|vr_ok(4.7x)
SOLUSDT,06-09 10:52,1781002320000,London,Long,66.3,15,0.241,8037.0,3.42,0.181,True,6.0,-1.0,22,STOP,4579.0,5244.0,-0.082,0.292,0,8,10,13,3.42,-3.97,-0.08,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.4x)
SOLUSDT,06-09 11:58,1781006280000,London,Long,66.16,15,0.272,5335.0,4.43,0.076,True,6.0,-1.0,47,STOP,14937.0,11838.0,-0.086,0.242,0,13,6,10,4.43,-2.65,-0.201,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_ok(4.4x)
SOLUSDT,06-09 12:59,1781009940000,London,Long,66.17,15,0.257,19404.0,3.51,0.136,True,4.0,-1.0,20,STOP,12702.0,16524.0,0.061,0.318,11,9,14,6,3.51,-1.78,-0.03,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.5x)
SOLUSDT,06-09 16:19,1781021940000,LondonNyOverlap,Short,63.8,15,0.549,-106803.0,2.14,0.141,False,2.0,1.0,16,STOP,-183751.0,5112.0,-0.073,0.252,6,15,10,0,2.14,-2.42,-0.045,presion_vendedora_fuerte|PRE_CVD_CONTRA|vr_bajo(2.1x)
SOLUSDT,06-09 21:19,1781039940000,NewYork,Short,65.26,20,0.444,-1890.0,2.59,0.122,True,4.0,0.135,60,TIMEOUT,-4385.0,-15045.0,0.025,0.417,0,9,10,0,2.56,-2.72,0.033,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.6x)|STACKED_CONTRA
SOLUSDT,06-10 08:02,1781078520000,London,Short,64.3,15,0.389,-69745.0,2.29,0.078,True,4.0,2.0,30,TARGET,-95022.0,-34095.0,0.049,0.369,0,17,3,5,2.29,-2.63,-0.057,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.3x)|obi_alineado|VPIN_TOXICO
SOLUSDT,06-10 13:30,1781098200000,LondonNyOverlap,Long,64.77,15,0.525,7249.0,11.91,0.575,True,6.0,0.254,60,TIMEOUT,30981.0,10334.0,0.011,0.223,4,13,10,15,11.91,-6.18,0.133,presion_compradora_fuerte|pre_cvd_ok|vr_fuerte(11.9x)|obi_alineado
SOLUSDT,06-10 17:29,1781112540000,NewYork,Short,64.06,15,0.531,-16408.0,4.35,0.404,True,5.0,0.05,60,TIMEOUT,-64152.0,-10154.0,0.064,0.288,10,20,4,7,4.66,-0.61,-0.057,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.7x)|obi_alineado
SOLUSDT,06-10 20:22,1781122920000,NewYork,Long,63.59,15,0.503,44875.0,2.93,0.205,True,5.0,-1.0,34,STOP,12601.0,17790.0,0.014,0.291,0,5,19,7,2.93,-2.04,0.023,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.9x)
XRPUSDT,06-06 12:25,1780748700000,London,Short,1.0824,15,0.545,-1519421.0,3.41,0.102,True,5.0,1.0,24,STOP,-1747216.0,-586836.0,0.0,0.0,0,0,0,0,0.89,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(0.9x)
XRPUSDT,06-06 13:45,1780753500000,LondonNyOverlap,Long,1.0975,15,0.519,396400.0,6.31,0.046,True,3.0,1.806,60,TIMEOUT,-433700.0,192017.0,0.0,0.0,0,0,0,0,1.99,-0.0,0.0,rango_limpio|pre_cvd_ok|vr_bajo(2.0x)
XRPUSDT,06-06 20:00,1780776000000,NewYork,Short,1.0774,45,0.529,-349611.0,7.98,0.195,True,5.0,-0.859,60,TIMEOUT,-157542.0,-304640.0,0.0,0.0,0,0,0,0,1.56,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(1.6x)
XRPUSDT,06-07 08:45,1780821900000,London,Long,1.1459,15,0.55,1546997.0,9.75,0.473,True,6.0,2.0,36,TARGET,2663120.0,209384.0,0.0,0.0,0,0,0,0,3.59,-0.0,0.0,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.6x)
XRPUSDT,06-07 14:20,1780842000000,LondonNyOverlap,Long,1.1316,30,0.548,1045262.0,9.5,0.408,True,5.0,0.065,60,TIMEOUT,1332698.0,223710.0,0.0,0.0,0,0,0,0,1.7,-0.0,0.0,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(1.7x)
XRPUSDT,06-07 15:35,1780846500000,LondonNyOverlap,Long,1.1359,15,0.511,910815.0,4.9,0.097,True,5.0,-0.203,60,TIMEOUT,1003963.0,34291.0,0.0,0.0,0,0,0,0,1.41,-0.0,0.0,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(1.4x)
XRPUSDT,06-07 17:00,1780851600000,NewYork,Long,1.1406,45,0.509,487832.0,4.99,0.167,False,2.0,0.286,60,TIMEOUT,-803494.0,-455895.0,0.0,0.0,0,0,0,0,1.35,-0.0,0.0,rango_limpio|PRE_CVD_CONTRA|vr_bajo(1.4x)
XRPUSDT,06-07 18:35,1780857300000,NewYork,Short,1.1434,15,0.464,-207517.0,5.21,0.14,True,3.0,2.0,36,TARGET,82561.0,-69044.0,0.0,0.0,0,0,0,0,1.77,0.0,0.0,rango_limpio|COMPRADORES_DOMINAN|pre_cvd_ok|vr_bajo(1.8x)
XRPUSDT,06-08 08:00,1780905600000,London,Short,1.1439,30,0.428,-831918.0,5.05,0.122,True,5.0,1.063,60,TIMEOUT,-835754.0,-56222.0,0.0,0.0,0,0,0,0,1.5,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(1.5x)
XRPUSDT,06-08 09:10,1780909800000,London,Long,1.1436,15,0.472,955662.0,2.93,0.096,True,5.0,1.0,60,TIMEOUT,1479484.0,54503.0,0.0,0.0,0,0,0,0,0.81,-0.0,0.0,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(0.8x)
XRPUSDT,06-08 10:20,1780914000000,London,Short,1.1461,15,0.41,-903263.0,3.2,0.061,True,5.0,1.0,12,STOP,-147964.0,-282967.0,0.0,0.0,0,0,0,0,1.13,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(1.1x)
XRPUSDT,06-08 18:35,1780943700000,NewYork,Short,1.1726,30,0.546,-2055171.0,3.37,0.026,True,5.0,1.0,42,STOP,-1793716.0,-197801.0,0.0,0.0,0,0,0,0,1.05,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(1.1x)
XRPUSDT,06-09 09:30,1780997400000,London,Short,1.1595,15,0.457,-1866688.0,10.18,0.438,True,6.0,0.25,60,TIMEOUT,-1563523.0,-709018.0,0.0,0.0,0,0,0,0,3.03,0.0,0.0,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.0x)
XRPUSDT,06-09 10:30,1781001000000,London,Short,1.1548,30,0.442,-185860.0,3.65,0.061,False,2.0,0.224,60,TIMEOUT,286055.0,147405.0,0.0,0.0,0,0,0,0,1.36,0.0,0.0,rango_limpio|COMPRADORES_DOMINAN|PRE_CVD_CONTRA|vr_bajo(1.4x)
XRPUSDT,06-09 13:15,1781010900000,LondonNyOverlap,Short,1.1565,20,0.484,-57775.0,5.71,0.328,True,3.0,0.106,60,TIMEOUT,457992.0,-199262.0,0.0,0.0,0,0,0,0,1.98,0.0,0.0,rango_limpio|COMPRADORES_DOMINAN|pre_cvd_ok|vr_bajo(2.0x)
XRPUSDT,06-09 17:34,1781026440000,NewYork,Long,1.1452,15,0.506,527416.0,2.01,0.035,True,4.0,-1.0,13,STOP,1817445.0,392140.0,0.026,0.262,25,8,17,10,1.95,-1.27,0.139,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(1.9x)|obi_alineado
XRPUSDT,06-09 19:50,1781034600000,NewYork,Long,1.1441,15,0.542,499326.0,6.28,0.07,False,5.0,-0.371,60,TIMEOUT,1008341.0,-226.0,0.207,0.276,12,12,10,0,6.39,-2.7,0.258,presion_compradora_fuerte|PRE_CVD_CONTRA|vr_fuerte(6.4x)|obi_alineado
XRPUSDT,06-09 21:00,1781038800000,NewYork,Long,1.144,15,0.201,39112.0,2.78,0.052,True,5.0,-1.0,4,STOP,339361.0,202437.0,0.016,0.326,9,6,19,0,2.77,1.07,0.344,presion_compradora_fuerte|pre_cvd_ok|dz_ok(1.1)|vr_bajo(2.8x)|obi_alineado
XRPUSDT,06-10 08:01,1781078460000,London,Short,1.1133,15,0.252,-1164046.0,2.08,0.179,True,6.0,2.0,36,TARGET,-1123372.0,-546707.0,0.105,0.329,0,16,7,0,2.08,-2.77,-0.149,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.1x)|obi_alineado
XRPUSDT,06-10 10:18,1781086680000,London,Short,1.105,45,0.416,-135185.0,2.34,0.027,True,0,1.0,12,STOP,527920.0,-218467.0,-0.008,0.337,1,9,14,1,2.34,-3.24,-0.296,rango_ok|COMPRADORES_DOMINAN|pre_cvd_ok|vr_bajo(2.3x)|obi_alineado|VPIN_TOXICO|STACKED_CONTRA
XRPUSDT,06-10 11:46,1781091960000,London,Long,1.105,15,0.226,351146.0,2.24,0.118,True,5.0,2.0,44,TARGET,476236.0,447701.0,-0.081,0.226,3,12,10,12,2.24,1.63,0.355,presion_compradora_fuerte|pre_cvd_ok|dz_ok(1.6)|vr_bajo(2.2x)|obi_alineado
XRPUSDT,06-10 18:40,1781116800000,NewYork,Short,1.1014,15,0.527,-104373.0,3.9,0.054,True,4.0,0.172,60,TIMEOUT,-306232.0,-578286.0,-0.013,0.236,4,11,14,10,3.9,-0.75,-0.275,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.9x)|obi_alineado|STACKED_CONTRA
XRPUSDT,06-10 21:10,1781125800000,NewYork,Short,1.0918,15,0.513,-606210.0,8.1,0.137,True,7.0,-0.169,60,TIMEOUT,-969821.0,-336419.0,-0.011,0.239,1,17,6,6,8.1,-4.81,-0.194,rango_ok|presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(8.1x)|obi_alineado
