market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780095000,1780095001000,299,73384.72,73473.65,88.93,0.0120,-0.0467,2.2411,11.9187,10.4020,1.8030,0.010834,0.4279,5.2373,73470.73,0.0098,0.0040,10.6765,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095000,1780095002000,298,73376.45,73480.00,103.55,0.0086,-0.0381,2.7316,14.6499,11.6720,2.0147,0.010987,0.5156,5.2980,73472.28,0.0150,0.0105,8.9497,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095000,1780095003000,297,73377.17,73485.24,108.07,0.0071,0.0278,0.0980,5.3863,4.0880,2.1897,0.011091,0.5188,0.1889,73472.36,0.0220,0.0175,7.7065,0.0001,0.6500,198.93,0.6400,16.00,0.6300,21.00,0.6200,75.45,0.6100,48.00,0.6600,25.81,0.6700,46.47,0.6800,55.00,0.6900,85.00,0.7000,76.60,0.3400,25.81,0.3300,46.47,0.3200,55.00,0.3100,85.00,0.3000,76.60,0.3500,198.93,0.3600,16.00,0.3700,21.00,0.3800,75.45,0.3900,48.00,359.38,288.88,648.26,288.88,359.38,648.26,0.0100,0.0100,0.1088,-0.1088,0.6589,0.3411,0.5981,0.2502,0.2502,0.5981,-4247.3471,129.8750,129.8750,-4247.3471
btc-updown-5m-1780095000,1780095004000,296,73380.64,73485.25,104.61,0.0000,0.0278,0.0806,5.2766,4.0880,2.1897,0.011091,0.5214,0.1547,73472.42,0.0116,0.0175,0.0142,0.0000,0.6500,69.96,0.6400,28.00,0.6300,41.00,0.6200,60.45,0.6100,38.00,0.6600,90.04,0.6700,55.00,0.6800,82.97,0.6900,95.00,0.7000,69.00,0.3400,90.04,0.3300,55.00,0.3200,82.97,0.3100,95.00,0.3000,69.00,0.3500,69.96,0.3600,28.00,0.3700,41.00,0.3800,60.45,0.3900,38.00,237.41,392.01,629.42,392.01,237.41,629.42,0.0100,0.0100,-0.2456,0.2456,0.6544,0.3456,0.4126,0.3700,0.3700,0.4126,-4051.0314,250.4968,250.4968,-4051.0314
btc-updown-5m-1780095000,1780095005000,295,73386.62,73481.36,94.74,-0.0053,0.0225,1.2770,6.4284,4.8640,2.2530,0.011113,0.5559,2.2971,73472.64,0.0046,0.0119,-5.0153,-0.0001,0.6200,29.34,0.6100,25.00,0.6000,106.00,0.5900,36.00,0.5800,41.67,0.6400,310.18,0.6500,151.04,0.6600,90.70,0.6700,88.97,0.6800,91.00,0.3600,310.18,0.3500,151.04,0.3400,90.70,0.3300,88.97,0.3200,91.00,0.3800,29.34,0.3900,25.00,0.4000,106.00,0.4100,36.00,0.4200,41.67,238.01,731.89,969.90,731.89,238.01,969.90,0.0200,0.0200,-0.5092,0.5092,0.6217,0.3783,0.2283,0.6302,0.6302,0.2283,-1217.2512,205.4058,205.2487,-1216.3198
btc-updown-5m-1780095000,1780095006000,294,73386.67,73481.36,94.69,0.0000,0.0105,0.0152,4.2024,3.1020,2.2530,0.011113,0.5264,0.0288,73470.63,0.0043,0.0146,0.0000,0.0000,0.5700,433.94,0.5600,2187.93,0.5500,18.55,0.5400,53.71,0.5300,89.76,0.5800,395.74,0.5900,93.52,0.6000,75.07,0.6100,130.97,0.6200,126.17,0.4200,395.74,0.4100,93.52,0.4000,75.07,0.3900,130.97,0.3800,126.17,0.4300,433.94,0.4400,2187.93,0.4500,18.55,0.4600,53.71,0.4700,89.76,2783.89,821.47,3605.36,821.47,2783.89,3605.36,0.0100,0.0100,0.5443,-0.5443,0.5752,0.4248,0.9418,0.5956,0.5956,0.9418,-173.5836,171.5342,171.4873,-173.5360
btc-updown-5m-1780095000,1780095007000,293,73386.67,73481.36,94.69,0.0000,0.0019,0.0000,1.4708,1.8320,2.2527,0.011113,0.5255,0.0000,73470.57,0.0010,0.0147,0.0000,0.0000,0.5700,332.45,0.5600,284.06,0.5500,73.55,0.5400,118.71,0.5300,144.76,0.5800,174.06,0.5900,128.52,0.6000,94.00,0.6100,160.97,0.6200,169.66,0.4200,174.06,0.4100,128.52,0.4000,94.00,0.3900,160.97,0.3800,169.66,0.4300,332.45,0.4400,284.06,0.4500,73.55,0.4600,118.71,0.4700,144.76,953.53,727.21,1680.74,727.21,953.53,1680.74,0.0100,0.0100,0.1347,-0.1347,0.5766,0.4234,0.6466,0.4161,0.4161,0.6466,138.4768,120.9289,120.8996,138.4433
btc-updown-5m-1780095000,1780095008000,292,73382.34,73471.54,89.20,-0.0134,-0.0186,1.3437,2.7166,2.7460,2.5797,0.011322,0.5688,2.3623,73470.64,-0.0073,0.0012,-11.9203,-0.0002,0.5700,342.45,0.5600,296.06,0.5500,73.55,0.5400,118.71,0.5300,154.76,0.5800,187.74,0.5900,128.52,0.6000,100.15,0.6100,160.97,0.6200,176.27,0.4200,187.74,0.4100,128.52,0.4000,100.15,0.3900,160.97,0.3800,176.27,0.4300,342.45,0.4400,296.06,0.4500,73.55,0.4600,118.71,0.4700,154.76,985.53,753.65,1739.18,753.65,985.53,1739.18,0.0100,0.0100,0.1333,-0.1333,0.5765,0.4235,0.6479,0.4196,0.4196,0.6479,125.3348,106.7377,106.8973,125.5221
btc-updown-5m-1780095000,1780095009000,291,73381.09,73471.54,90.45,0.0000,-0.0187,0.0417,2.6776,2.7440,2.5797,0.011322,0.5701,0.0731,73470.64,-0.0068,0.0012,0.0000,0.0000,0.5700,337.40,0.5600,296.06,0.5500,73.55,0.5400,113.71,0.5300,154.76,0.5800,102.12,0.5900,128.52,0.6000,100.15,0.6100,160.97,0.6200,171.27,0.4200,102.12,0.4100,128.52,0.4000,100.15,0.3900,160.97,0.3800,171.27,0.4300,337.40,0.4400,296.06,0.4500,73.55,0.4600,113.71,0.4700,154.76,975.48,663.03,1638.51,663.03,975.48,1638.51,0.0100,0.0100,0.1907,-0.1907,0.5777,0.4223,0.6494,0.3479,0.3479,0.6494,115.2952,65.8819,65.8819,115.2952
btc-updown-5m-1780095000,1780095010000,290,73380.20,73471.54,91.34,0.0000,-0.0134,0.0000,1.4006,1.9660,2.5797,0.011322,0.5683,0.0000,73470.52,-0.0064,0.0014,0.0000,0.0000,0.5600,211.23,0.5500,8.55,0.5400,8.71,0.5300,39.76,0.5200,24.00,0.5800,784.26,0.5900,101.00,0.6000,80.15,0.6100,108.00,0.6200,161.27,0.4200,784.26,0.4100,101.00,0.4000,80.15,0.3900,108.00,0.3800,161.27,0.4400,211.23,0.4500,8.55,0.4600,8.71,0.4700,39.76,0.4800,24.00,292.25,1234.68,1526.93,1234.68,292.25,1526.93,0.0200,0.0200,-0.6172,0.6172,0.5642,0.4358,0.7520,0.7170,0.7170,0.7520,-4.4506,148.3164,148.2654,-4.4490
