market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780095600,1780095602000,298,73386.16,73472.02,85.86,0.0000,-0.0156,0.0008,3.7885,2.4820,0.4183,0.002809,0.1296,0.0066,73472.72,-0.0001,-0.0010,0.0117,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095600,1780095603000,297,73375.29,73457.58,82.29,-0.0197,-0.0353,3.2391,7.0182,5.3680,0.8997,0.004434,0.2339,13.8459,73465.95,-0.0106,-0.0114,-16.1731,-0.0002,0.3300,88.12,0.3200,53.00,0.3100,76.00,0.3000,88.00,0.2900,53.00,0.3400,9.76,0.3800,15.00,0.4000,17.00,0.4100,191.52,0.4200,169.00,0.6600,9.76,0.6200,15.00,0.6000,17.00,0.5900,191.52,0.5800,169.00,0.6700,88.12,0.6800,53.00,0.6900,76.00,0.7000,88.00,0.7100,53.00,358.12,402.28,760.40,402.28,358.12,760.40,0.0100,0.0100,-0.0581,0.0581,0.3390,0.6610,0.3941,0.0615,0.0615,0.3941,184.1530,-380.8471,-765.8794,370.3298
btc-updown-5m-1780095600,1780095604000,296,73371.59,73457.58,85.99,0.0000,-0.0353,0.0431,7.0559,5.3680,0.8993,0.004434,0.2353,0.1832,73465.90,-0.0105,-0.0113,0.0000,0.0000,0.2600,340.82,0.2500,192.59,0.2400,202.22,0.2300,165.00,0.2200,180.00,0.2700,75.51,0.2800,128.17,0.2900,21.00,0.3000,64.00,0.3100,46.00,0.7300,75.51,0.7200,128.17,0.7100,21.00,0.7000,64.00,0.6900,46.00,0.7400,340.82,0.7500,192.59,0.7600,202.22,0.7700,165.00,0.7800,180.00,1080.63,334.68,1415.31,334.68,1080.63,1415.31,0.0100,0.0100,0.5271,-0.5271,0.2682,0.7318,0.4936,0.6086,0.6086,0.4936,609.9692,-159.8379,-186.1421,710.3507
btc-updown-5m-1780095600,1780095605000,295,73371.58,73457.58,86.00,0.0000,-0.0197,0.0068,3.3740,2.8920,0.8993,0.004434,0.2332,0.0293,73465.71,-0.0105,-0.0111,0.0000,0.0000,0.2700,171.24,0.2600,374.48,0.2500,315.06,0.2400,140.00,0.2300,145.00,0.2800,287.61,0.2900,21.00,0.3000,49.00,0.3100,56.00,0.3200,81.00,0.7200,287.61,0.7100,21.00,0.7000,49.00,0.6900,56.00,0.6800,81.00,0.7300,171.24,0.7400,374.48,0.7500,315.06,0.7600,140.00,0.7700,145.00,1145.78,494.61,1640.39,494.61,1145.78,1640.39,0.0100,0.0100,0.3970,-0.3970,0.2737,0.7263,0.4763,0.6239,0.6239,0.4763,351.2983,-19.3344,-20.9063,379.8579
btc-updown-5m-1780095600,1780095606000,294,73366.29,73457.58,91.29,0.0000,-0.0196,0.0065,3.2964,2.8900,0.8993,0.004434,0.2334,0.0278,73465.70,-0.0005,-0.0111,0.0000,0.0000,0.2700,303.81,0.2600,390.87,0.2500,183.22,0.2400,145.00,0.2300,156.00,0.2800,36.87,0.2900,26.00,0.3000,44.00,0.3100,31.00,0.3200,86.00,0.7200,36.87,0.7100,26.00,0.7000,44.00,0.6900,31.00,0.6800,86.00,0.7300,303.81,0.7400,390.87,0.7500,183.22,0.7600,145.00,0.7700,156.00,1178.90,223.87,1402.77,223.87,1178.90,1402.77,0.0100,0.0100,0.6808,-0.6808,0.2789,0.7211,0.5893,0.2808,0.2808,0.5893,258.9446,-92.6531,-97.8750,273.5387
btc-updown-5m-1780095600,1780095607000,293,73360.35,73457.58,97.23,0.0000,-0.0197,0.0007,3.2963,2.8880,0.8993,0.004434,0.2334,0.0029,73465.70,-0.0000,-0.0111,0.0000,0.0000,0.2700,331.60,0.2600,449.48,0.2500,205.22,0.2400,178.39,0.2300,131.00,0.2800,14.26,0.2900,100.60,0.3000,44.00,0.3100,31.68,0.3200,56.00,0.7200,14.26,0.7100,55.60,0.7000,44.00,0.6900,31.68,0.6800,56.00,0.7300,331.60,0.7400,449.48,0.7500,205.22,0.7600,178.39,0.7700,116.00,1295.69,246.54,1542.23,201.54,1280.69,1482.23,0.0100,0.0100,0.6803,-0.7281,0.2796,0.7204,0.6028,0.4659,0.3466,0.6099,225.7345,-66.2916,-79.6744,231.8974
btc-updown-5m-1780095600,1780095608000,292,73360.35,73457.58,97.23,0.0000,0.0000,0.1241,0.1812,0.0000,0.8990,0.004434,0.2374,0.5228,73465.57,0.0000,-0.0109,0.0000,0.0000,0.2800,666.77,0.2700,190.29,0.2600,456.16,0.2500,204.20,0.2400,200.78,0.2900,62.29,0.3000,109.00,0.3100,66.00,0.3200,113.97,0.3300,76.00,0.7100,62.29,0.7000,109.00,0.6900,66.00,0.6800,113.97,0.6700,76.00,0.7200,666.77,0.7300,190.29,0.7400,456.16,0.7500,204.20,0.7600,200.78,1718.20,427.26,2145.46,427.26,1718.20,2145.46,0.0100,0.0100,0.6017,-0.6017,0.2891,0.7109,0.4988,0.4009,0.4009,0.4988,287.7404,-23.0619,-23.9351,298.6360
btc-updown-5m-1780095600,1780095609000,291,73360.35,73457.58,97.23,0.0000,0.0000,0.0068,0.1449,0.0000,0.8987,0.004434,0.2375,0.0285,73465.55,0.0000,-0.0109,0.0000,0.0000,0.2900,180.40,0.2800,357.02,0.2700,149.76,0.2600,450.48,0.2500,183.95,0.3000,24.25,0.3100,51.00,0.3200,164.52,0.3300,142.25,0.3400,111.24,0.7000,24.25,0.6900,51.00,0.6800,164.52,0.6700,142.25,0.6600,111.24,0.7100,180.40,0.7200,357.02,0.7300,149.76,0.7400,450.48,0.7500,183.95,1321.61,493.26,1814.87,493.26,1321.61,1814.87,0.0100,0.0100,0.4564,-0.4564,0.2988,0.7012,0.4066,0.1526,0.1526,0.4066,163.4993,-8.3871,-8.3844,163.4457
btc-updown-5m-1780095600,1780095610000,290,73360.75,73457.58,96.83,0.0000,0.0000,0.0167,0.1548,0.0000,0.8987,0.004434,0.2375,0.0704,73465.49,-0.0000,-0.0108,0.0000,0.0000,0.3000,116.85,0.2900,96.00,0.2800,483.71,0.2700,123.76,0.2600,443.69,0.3100,284.88,0.3200,140.97,0.3300,137.25,0.3400,111.00,0.3500,120.00,0.6900,284.88,0.6800,140.97,0.6700,137.25,0.6600,111.00,0.6500,120.00,0.7000,116.85,0.7100,96.00,0.7200,483.71,0.7300,123.76,0.7400,443.69,1264.01,794.10,2058.11,794.10,1264.01,2058.11,0.0100,0.0100,0.2283,-0.2283,0.3029,0.6971,0.1684,0.5363,0.5363,0.1684,29.7212,74.4603,74.4603,29.7212
btc-updown-5m-1780095600,1780095611000,289,73360.76,73457.58,96.82,0.0000,0.0000,0.0025,0.1508,0.0020,0.8987,0.004434,0.2376,0.0106,73465.49,0.0000,-0.0108,0.0000,0.0000,0.2900,199.45,0.2800,358.68,0.2700,222.63,0.2600,457.39,0.2500,182.20,0.3000,177.14,0.3100,72.97,0.3200,85.97,0.3300,107.25,0.3400,111.00,0.7000,177.14,0.6900,72.97,0.6800,85.97,0.6700,107.25,0.6600,111.00,0.7100,199.45,0.7200,358.68,0.7300,222.63,0.7400,457.39,0.7500,182.20,1420.35,554.33,1974.68,554.33,1420.35,1974.68,0.0100,0.0100,0.4386,-0.4386,0.2953,0.7047,0.3930,0.4512,0.4512,0.3930,39.0564,39.3381,39.3381,39.0564
