market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780095900,1780095902000,298,73371.09,73470.00,98.91,0.0000,0.0084,0.0638,0.1595,1.2360,0.3667,0.001862,0.0171,3.7338,73462.90,0.0025,0.0097,0.0135,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095900,1780095903000,297,73371.21,73469.99,98.78,-0.0000,0.0084,0.0001,0.1586,1.2380,0.3667,0.001862,0.0166,0.0060,73463.00,0.0002,0.0095,-0.0134,-0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095900,1780095904000,296,73375.14,73470.00,94.86,0.0000,0.0084,0.0637,0.2222,1.2380,0.3670,0.001862,0.0145,4.3857,73465.11,0.0001,0.0067,0.0129,0.0000,0.5800,130.13,0.5700,26.15,0.5600,91.00,0.5500,56.00,0.5400,59.52,0.5900,135.87,0.6000,192.94,0.6100,158.00,0.6200,201.39,0.6300,201.00,0.4100,135.87,0.4000,192.94,0.3900,158.00,0.3800,201.39,0.3700,201.00,0.4200,130.13,0.4300,26.15,0.4400,91.00,0.4500,56.00,0.4600,59.52,362.80,889.20,1252.00,889.20,362.80,1252.00,0.0100,0.0100,-0.4204,0.4204,0.5849,0.4151,0.4308,0.3698,0.3698,0.4308,141.7349,314.7173,315.9490,142.2896
btc-updown-5m-1780095900,1780095905000,295,73375.14,73470.00,94.86,0.0000,0.0084,0.0000,0.2196,1.2360,0.3667,0.001862,0.0145,0.0000,73465.11,0.0001,0.0067,0.0000,0.0000,0.5800,131.72,0.5700,47.15,0.5600,106.00,0.5500,63.35,0.5400,49.52,0.5900,100.45,0.6000,191.00,0.6100,169.00,0.6200,198.39,0.6300,201.00,0.4100,100.45,0.4000,191.00,0.3900,169.00,0.3800,198.39,0.3700,201.00,0.4200,131.72,0.4300,47.15,0.4400,106.00,0.4500,63.35,0.4600,49.52,397.74,859.84,1257.58,859.84,397.74,1257.58,0.0100,0.0100,-0.3675,0.3675,0.5857,0.4143,0.4497,0.3390,0.3390,0.4497,106.2685,130.3949,130.5237,106.3735
btc-updown-5m-1780095900,1780095906000,294,73375.59,73473.34,97.75,0.0045,0.0046,0.0736,0.2012,0.6740,0.4780,0.001996,0.0169,4.3649,73466.28,0.0034,0.0096,4.4437,0.0001,0.5800,255.17,0.5700,334.10,0.5600,161.00,0.5500,118.35,0.5400,139.52,0.5900,73.00,0.6000,204.94,0.6100,98.00,0.6200,165.64,0.6300,146.00,0.4100,73.00,0.4000,204.94,0.3900,98.00,0.3800,165.64,0.3700,146.00,0.4200,255.17,0.4300,334.10,0.4400,161.00,0.4500,118.35,0.4600,139.52,1008.14,687.58,1695.72,687.58,1008.14,1695.72,0.0100,0.0100,0.1890,-0.1890,0.5878,0.4122,0.5845,0.4042,0.4042,0.5845,290.8262,-16.2697,-16.2829,291.0620
btc-updown-5m-1780095900,1780095907000,293,73376.47,73473.34,96.87,0.0000,0.0045,0.0007,0.1381,0.6720,0.4780,0.001996,0.0166,0.0414,73466.39,0.0029,0.0095,0.0000,0.0000,0.6100,28.45,0.5900,189.17,0.5800,740.12,0.5700,127.15,0.5600,174.00,0.6300,14.09,0.6400,376.00,0.6500,50.00,0.6600,148.39,0.6700,46.00,0.3700,14.09,0.3600,376.00,0.3500,50.00,0.3400,148.39,0.3300,46.00,0.3900,28.45,0.4100,189.17,0.4200,740.12,0.4300,127.15,0.4400,174.00,1258.89,634.48,1893.37,634.48,1258.89,1893.37,0.0200,0.0200,0.3298,-0.3298,0.6234,0.3766,0.1729,0.6148,0.6148,0.1729,275.6972,-26.5424,-26.5575,275.8542
btc-updown-5m-1780095900,1780095908000,292,73376.75,73473.33,96.58,-0.0000,0.0045,0.0001,0.1381,0.6720,0.4783,0.001996,0.0166,0.0048,73466.40,0.0021,0.0094,-0.0131,-0.0000,0.6300,30.27,0.6200,78.16,0.6100,130.19,0.6000,71.00,0.5900,101.00,0.6400,482.13,0.6500,85.29,0.6600,143.39,0.6700,135.52,0.6800,87.18,0.3600,482.13,0.3500,85.29,0.3400,143.39,0.3300,135.52,0.3200,87.18,0.3700,30.27,0.3800,78.16,0.3900,130.19,0.4000,71.00,0.4100,101.00,410.62,933.51,1344.13,933.51,410.62,1344.13,0.0100,0.0100,-0.3890,0.3890,0.6306,0.3694,0.2641,0.6078,0.6078,0.2641,27.9717,47.7512,47.7734,27.9847
btc-updown-5m-1780095900,1780095909000,291,73377.81,73473.33,95.52,0.0000,0.0045,0.0814,0.1558,0.6700,0.4783,0.001996,0.0193,4.2251,73467.34,0.0013,0.0081,0.0000,0.0000,0.6300,167.04,0.6100,15.00,0.6000,13.00,0.5900,19.38,0.5800,86.00,0.6400,807.56,0.6500,205.29,0.6600,269.39,0.6700,200.52,0.6800,197.18,0.3600,807.56,0.3500,205.29,0.3400,269.39,0.3300,200.52,0.3200,197.18,0.3700,167.04,0.3900,15.00,0.4000,13.00,0.4100,19.38,0.4200,86.00,300.42,1679.94,1980.36,1679.94,300.42,1980.36,0.0100,0.0100,-0.6966,0.6966,0.6317,0.3683,0.6060,0.6029,0.6029,0.6060,1.8727,172.6233,172.6859,1.8734
btc-updown-5m-1780095900,1780095910000,290,73379.13,73473.34,94.21,0.0000,0.0045,0.0131,0.1689,0.6720,0.4783,0.001996,0.0197,0.6638,73467.47,0.0000,0.0080,0.0128,0.0000,0.5900,293.95,0.5800,126.00,0.5700,190.16,0.5600,196.20,0.5500,198.00,0.6000,100.04,0.6100,81.37,0.6200,158.00,0.6300,115.29,0.6400,467.34,0.4000,100.04,0.3900,81.37,0.3800,158.00,0.3700,115.29,0.3600,467.34,0.4100,293.95,0.4200,126.00,0.4300,190.16,0.4400,196.20,0.4500,198.00,1004.31,922.04,1926.35,922.04,1004.31,1926.35,0.0100,0.0100,0.0427,-0.0427,0.5975,0.4025,0.4181,0.1967,0.1967,0.4181,101.4260,12.0792,12.0792,101.4260
btc-updown-5m-1780095900,1780095911000,289,73379.14,73473.34,94.20,0.0000,0.0000,0.0000,0.0952,0.0040,0.4780,0.001996,0.0196,0.0000,73467.51,0.0000,0.0079,0.0000,0.0000,0.5900,348.43,0.5800,136.00,0.5700,160.16,0.5600,216.20,0.5500,146.00,0.6000,63.29,0.6100,106.65,0.6200,131.00,0.6300,100.29,0.6400,396.34,0.4000,63.29,0.3900,106.65,0.3800,131.00,0.3700,100.29,0.3600,396.34,0.4100,348.43,0.4200,136.00,0.4300,160.16,0.4400,216.20,0.4500,146.00,1006.79,797.57,1804.36,797.57,1006.79,1804.36,0.0100,0.0100,0.1160,-0.1160,0.5985,0.4015,0.4812,0.2131,0.2131,0.4812,93.9573,-13.1351,-13.1397,93.9902
