market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780095300,1780095302000,298,73335.29,73436.38,101.09,0.0000,0.0065,0.0000,0.0855,0.9600,0.3897,0.001730,0.0381,0.0000,73430.36,0.0001,0.0082,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095300,1780095303000,297,73337.91,73436.38,98.47,0.0000,0.0065,0.0000,0.0852,0.9580,0.3893,0.001730,0.0381,0.0000,73430.36,0.0000,0.0082,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780095300,1780095304000,296,73340.75,73446.80,106.05,0.0142,0.0207,0.7260,0.8112,3.0420,0.7367,0.002997,0.0604,12.0220,73436.84,0.0015,0.0136,15.0473,0.0002,0.4900,118.00,0.4800,162.00,0.4700,191.60,0.4600,177.67,0.4500,111.00,0.5000,75.74,0.5100,50.00,0.5200,88.00,0.5300,61.00,0.5400,246.00,0.5000,75.74,0.4900,50.00,0.4800,88.00,0.4700,61.00,0.4600,246.00,0.5100,118.00,0.5200,162.00,0.5300,191.60,0.5400,177.67,0.5500,111.00,760.27,520.74,1281.01,520.74,760.27,1281.01,0.0100,0.0100,0.1870,-0.1870,0.4961,0.5039,0.3683,0.2415,0.2415,0.3683,-385.1760,-211.8426,-211.4050,-384.3802
btc-updown-5m-1780095300,1780095305000,295,73341.18,73449.76,108.58,0.0040,0.0182,0.0586,0.7871,2.6780,0.8353,0.003039,0.0607,0.9661,73437.56,0.0051,0.0166,4.3757,0.0001,0.6000,429.20,0.5900,100.89,0.5800,168.35,0.5700,136.00,0.5600,111.00,0.6100,6.21,0.6200,55.00,0.6300,15.00,0.6400,67.26,0.6500,103.72,0.3900,6.21,0.3800,55.00,0.3700,15.00,0.3600,67.26,0.3500,103.72,0.4000,429.20,0.4100,100.89,0.4200,168.35,0.4300,136.00,0.4400,111.00,945.44,247.19,1192.63,247.19,945.44,1192.63,0.0100,0.0100,0.5855,-0.5855,0.6099,0.3901,0.5607,0.2476,0.2476,0.5607,-0.4974,-214.9057,-215.0286,-0.4977
btc-updown-5m-1780095300,1780095306000,294,73340.97,73449.76,108.79,0.0000,0.0182,0.0000,0.7846,2.6760,0.8353,0.003039,0.0604,0.0000,73437.62,0.0038,0.0165,0.0000,0.0000,0.5700,91.00,0.5600,36.00,0.5500,126.00,0.5400,117.20,0.5300,71.57,0.5900,22.00,0.6000,20.00,0.6100,142.92,0.6200,112.36,0.6300,101.10,0.4100,22.00,0.4000,20.00,0.3900,142.92,0.3800,112.36,0.3700,101.10,0.4300,91.00,0.4400,36.00,0.4500,126.00,0.4600,117.20,0.4700,71.57,441.77,398.38,840.15,398.38,441.77,840.15,0.0200,0.0200,0.0516,-0.0516,0.5861,0.4139,0.2875,0.1054,0.1054,0.2875,-187.6311,-83.5552,-83.5552,-187.6311
btc-updown-5m-1780095300,1780095307000,293,73351.93,73449.76,97.83,0.0000,0.0182,0.0010,0.7856,2.6760,0.8353,0.003039,0.0604,0.0170,73437.63,0.0037,0.0165,0.0000,0.0000,0.5600,119.97,0.5500,193.00,0.5400,152.20,0.5300,121.76,0.5200,145.88,0.5700,54.81,0.5800,30.00,0.5900,146.89,0.6000,396.43,0.6100,121.77,0.4300,54.81,0.4200,30.00,0.4100,146.89,0.4000,396.43,0.3900,121.77,0.4400,119.97,0.4500,193.00,0.4600,152.20,0.4700,121.76,0.4800,145.88,732.81,749.90,1482.71,749.90,732.81,1482.71,0.0100,0.0100,-0.0115,0.0115,0.5669,0.4331,0.4271,0.1131,0.1131,0.4271,-58.3972,34.6937,34.6937,-58.3972
btc-updown-5m-1780095300,1780095308000,292,73351.93,73449.76,97.83,0.0000,0.0182,0.0136,0.7993,2.6760,0.8353,0.003039,0.0605,0.2252,73437.80,0.0037,0.0163,0.0000,0.0000,0.5700,51.00,0.5600,60.02,0.5500,161.00,0.5400,92.20,0.5300,71.00,0.5800,3.00,0.5900,41.87,0.6000,326.43,0.6100,132.39,0.6200,107.94,0.4200,3.00,0.4100,41.87,0.4000,326.43,0.3900,132.39,0.3800,107.94,0.4300,51.00,0.4400,60.02,0.4500,161.00,0.4600,92.20,0.4700,71.00,435.22,611.63,1046.85,611.63,435.22,1046.85,0.0100,0.0100,-0.1685,0.1685,0.5794,0.4206,0.2551,0.0734,0.0734,0.2551,-108.5808,-2.4283,-2.4288,-108.6039
btc-updown-5m-1780095300,1780095309000,291,73352.73,73449.75,97.02,-0.0000,0.0040,0.0367,0.1100,0.5940,0.6600,0.002830,0.0608,0.6035,73438.21,0.0035,0.0157,-0.0132,-0.0000,0.5800,96.22,0.5700,86.00,0.5600,76.02,0.5500,156.00,0.5400,97.20,0.5900,5.15,0.6000,291.43,0.6100,68.83,0.6200,89.74,0.6300,37.94,0.4100,5.15,0.4000,291.43,0.3900,68.83,0.3800,89.74,0.3700,37.94,0.4200,96.22,0.4300,86.00,0.4400,76.02,0.4500,156.00,0.4600,97.20,511.44,493.09,1004.53,493.09,511.44,1004.53,0.0100,0.0100,0.0183,-0.0183,0.5895,0.4105,0.3563,0.6015,0.6015,0.3563,-75.5376,-22.5760,-22.5760,-75.5376
btc-updown-5m-1780095300,1780095310000,290,73352.78,73449.75,96.97,0.0000,-0.0000,0.0020,0.0534,0.0020,0.6597,0.002829,0.0400,0.0500,73442.47,-0.0000,0.0099,0.0000,0.0000,0.5800,17.22,0.5700,131.00,0.5600,71.02,0.5500,165.40,0.5400,87.20,0.5900,191.77,0.6000,323.80,0.6100,113.92,0.6200,126.00,0.6300,91.00,0.4100,191.77,0.4000,323.80,0.3900,113.92,0.3800,126.00,0.3700,91.00,0.4200,17.22,0.4300,131.00,0.4400,71.02,0.4500,165.40,0.4600,87.20,471.84,846.49,1318.33,846.49,471.84,1318.33,0.0100,0.0100,-0.2842,0.2842,0.5808,0.4192,0.3141,0.6091,0.6091,0.3141,-66.3798,95.7683,95.7349,-66.3567
btc-updown-5m-1780095300,1780095311000,289,73352.79,73449.75,96.96,0.0000,-0.0000,0.0046,0.0580,0.0020,0.6087,0.002825,0.0401,0.1150,73442.52,-0.0000,0.0098,0.0000,0.0000,0.5700,124.28,0.5600,81.02,0.5500,170.40,0.5400,87.20,0.5300,66.00,0.5900,252.81,0.6000,342.54,0.6100,115.09,0.6200,126.00,0.6300,91.00,0.4100,252.81,0.4000,342.54,0.3900,115.09,0.3800,126.00,0.3700,91.00,0.4300,124.28,0.4400,81.02,0.4500,170.40,0.4600,87.20,0.4700,66.00,528.90,927.44,1456.34,927.44,528.90,1456.34,0.0200,0.0200,-0.2737,0.2737,0.5766,0.4234,0.3882,0.6419,0.6419,0.3882,-76.9094,123.5246,123.5022,-76.8954
btc-updown-5m-1780095300,1780095312000,288,73352.80,73449.75,96.95,0.0000,-0.0000,0.0001,0.0570,0.0020,0.6083,0.002825,0.0379,0.0021,73443.16,-0.0000,0.0090,0.0000,0.0000,0.5800,23.31,0.5700,177.50,0.5600,93.00,0.5500,170.40,0.5400,92.78,0.5900,140.81,0.6000,304.54,0.6100,68.83,0.6200,71.00,0.6300,31.00,0.4100,140.81,0.4000,304.54,0.3900,68.83,0.3800,71.00,0.3700,31.00,0.4200,23.31,0.4300,177.50,0.4400,93.00,0.4500,170.40,0.4600,92.78,556.99,616.18,1173.17,616.18,556.99,1173.17,0.0100,0.0100,-0.0505,0.0505,0.5814,0.4186,0.3605,0.7228,0.7228,0.3605,17.8613,8.8442,8.8456,17.8643
btc-updown-5m-1780095300,1780095313000,287,73353.49,73449.76,96.27,0.0000,0.0000,0.0030,0.0464,0.0500,0.6163,0.002825,0.0371,0.0808,73443.44,0.0000,0.0086,0.0131,0.0000,0.5900,175.23,0.5800,114.56,0.5700,195.28,0.5600,116.00,0.5500,175.31,0.6000,212.18,0.6100,47.89,0.6200,31.00,0.6300,36.00,0.6400,61.00,0.4000,212.18,0.3900,47.89,0.3800,31.00,0.3700,36.00,0.3600,61.00,0.4100,175.23,0.4200,114.56,0.4300,195.28,0.4400,116.00,0.4500,175.31,776.38,388.07,1164.45,388.07,776.38,1164.45,0.0100,0.0100,0.3335,-0.3335,0.5945,0.4055,0.3733,0.6702,0.6702,0.3733,17.2320,-57.7621,-57.7621,17.2320
btc-updown-5m-1780095300,1780095314000,286,73353.63,73449.76,96.13,0.0000,0.0000,0.0000,0.0097,0.0480,0.6163,0.002825,0.0367,0.0000,73443.58,0.0000,0.0084,0.0000,0.0000,0.5900,132.57,0.5800,93.00,0.5700,285.28,0.5600,126.00,0.5500,180.84,0.6000,88.37,0.6100,36.09,0.6200,36.00,0.6300,36.00,0.6400,56.00,0.4000,88.37,0.3900,36.09,0.3800,36.00,0.3700,36.00,0.3600,56.00,0.4100,132.57,0.4200,93.00,0.4300,285.28,0.4400,126.00,0.4500,180.84,817.69,252.46,1070.15,252.46,817.69,1070.15,0.0100,0.0100,0.5282,-0.5282,0.5960,0.4040,0.2759,0.4930,0.4930,0.2759,63.0998,-62.8466,-62.8259,63.0791
btc-updown-5m-1780095300,1780095315000,285,73354.33,73449.76,95.43,0.0000,0.0000,0.0018,0.0095,0.0480,0.6163,0.002825,0.0326,0.0555,73445.10,0.0000,0.0063,0.0000,0.0000,0.6000,190.66,0.5900,83.56,0.5800,91.00,0.5700,275.28,0.5600,116.00,0.6100,22.22,0.6200,18.00,0.6300,43.00,0.6400,26.00,0.6500,205.97,0.3900,22.22,0.3800,18.00,0.3700,43.00,0.3600,26.00,0.3500,205.97,0.4000,190.66,0.4100,83.56,0.4200,91.00,0.4300,275.28,0.4400,116.00,756.50,315.19,1071.69,315.19,756.50,1071.69,0.0100,0.0100,0.4118,-0.4118,0.6090,0.3910,0.3625,0.1276,0.1276,0.3625,54.0677,-46.9067,-46.9067,54.0677
btc-updown-5m-1780095300,1780095316000,284,73355.03,73449.76,94.73,0.0000,0.0000,0.0003,0.0052,0.0480,0.6163,0.002825,0.0326,0.0080,73445.10,0.0000,0.0063,0.0000,0.0000,0.5300,34.88,0.5200,6.00,0.5100,38.00,0.5000,75.00,0.4900,36.00,0.5400,95.73,0.5500,516.23,0.5600,254.00,0.5700,121.59,0.5800,101.72,0.4600,95.73,0.4500,516.23,0.4400,254.00,0.4300,121.59,0.4200,101.72,0.4700,34.88,0.4800,6.00,0.4900,38.00,0.5000,75.00,0.5100,36.00,189.88,1089.27,1279.15,1089.27,189.88,1279.15,0.0100,0.0100,-0.7031,0.7031,0.5327,0.4673,0.2153,0.5618,0.5618,0.2153,-44.9333,21.9846,21.9846,-44.9333
btc-updown-5m-1780095300,1780095317000,283,73355.03,73449.76,94.73,0.0000,0.0000,0.0000,0.0051,0.0480,0.6163,0.002825,0.0326,0.0000,73445.10,0.0000,0.0063,0.0000,0.0000,0.5300,18.47,0.5200,26.00,0.5100,30.00,0.5000,67.00,0.4900,36.00,0.5400,224.10,0.5500,369.57,0.5600,347.00,0.5700,76.00,0.5800,46.00,0.4600,224.10,0.4500,369.57,0.4400,347.00,0.4300,76.00,0.4200,46.00,0.4700,18.47,0.4800,26.00,0.4900,30.00,0.5000,67.00,0.5100,36.00,177.47,1062.67,1240.14,1062.67,177.47,1240.14,0.0100,0.0100,-0.7138,0.7138,0.5308,0.4692,0.2506,0.5587,0.5587,0.2506,-79.7362,89.1290,89.1460,-79.7514
btc-updown-5m-1780095300,1780095318000,282,73355.03,73449.76,94.73,0.0000,0.0000,0.0000,0.0021,0.0000,0.6160,0.002825,0.0326,0.0000,73445.10,0.0000,0.0063,0.0000,0.0000,0.5300,57.93,0.5200,26.00,0.5100,30.00,0.5000,79.34,0.4900,31.00,0.5400,113.85,0.5500,369.57,0.5600,347.00,0.5700,76.00,0.5800,46.00,0.4600,113.85,0.4500,369.57,0.4400,347.00,0.4300,76.00,0.4200,46.00,0.4700,57.93,0.4800,26.00,0.4900,30.00,0.5000,79.34,0.5100,31.00,224.27,952.42,1176.69,952.42,224.27,1176.69,0.0100,0.0100,-0.6188,0.6188,0.5334,0.4666,0.3742,0.5076,0.5076,0.3742,-54.1978,54.7711,54.7711,-54.1978
btc-updown-5m-1780095300,1780095319000,281,73353.15,73449.76,96.61,0.0000,0.0000,0.0586,0.0607,0.0000,0.6157,0.002825,0.0345,1.6985,73445.36,0.0000,0.0060,0.0000,0.0000,0.5400,74.31,0.5300,12.83,0.5200,45.36,0.5100,68.00,0.5000,105.00,0.5500,361.84,0.5600,397.47,0.5700,56.00,0.5800,46.00,0.5900,61.00,0.4500,361.84,0.4400,397.47,0.4300,56.00,0.4200,46.00,0.4100,61.00,0.4600,74.31,0.4700,12.83,0.4800,45.36,0.4900,68.00,0.5000,105.00,305.50,922.31,1227.81,922.31,305.50,1227.81,0.0100,0.0100,-0.5024,0.5024,0.5417,0.4583,0.2852,0.8233,0.8233,0.2852,-72.4979,99.0254,99.0423,-72.5102
btc-updown-5m-1780095300,1780095320000,280,73352.37,73449.76,97.39,0.0000,0.0000,0.0005,0.0594,0.0000,0.6157,0.002825,0.0345,0.0154,73445.37,0.0000,0.0060,0.0000,0.0000,0.5400,46.82,0.5300,27.83,0.5200,26.00,0.5100,68.00,0.5000,130.00,0.5500,273.13,0.5600,399.47,0.5700,76.00,0.5800,46.00,0.5900,61.00,0.4500,273.13,0.4400,399.47,0.4300,76.00,0.4200,46.00,0.4100,61.00,0.4600,46.82,0.4700,27.83,0.4800,26.00,0.4900,68.00,0.5000,130.00,298.65,855.60,1154.25,855.60,298.65,1154.25,0.0100,0.0100,-0.4825,0.4825,0.5415,0.4585,0.2500,0.7861,0.7861,0.2500,-86.8396,100.9102,100.9102,-86.8396
btc-updown-5m-1780095300,1780095321000,279,73352.19,73449.76,97.57,0.0000,0.0000,0.0001,0.0592,0.0000,0.6153,0.002825,0.0345,0.0026,73445.37,0.0000,0.0060,0.0000,0.0000,0.5400,43.47,0.5300,17.83,0.5200,42.37,0.5100,68.00,0.5000,135.00,0.5500,276.54,0.5600,399.47,0.5700,56.00,0.5800,46.00,0.5900,61.00,0.4500,276.54,0.4400,399.47,0.4300,56.00,0.4200,46.00,0.4100,61.00,0.4600,43.47,0.4700,17.83,0.4800,42.37,0.4900,68.00,0.5000,135.00,306.67,839.01,1145.68,839.01,306.67,1145.68,0.0100,0.0100,-0.4646,0.4646,0.5414,0.4586,0.1999,0.8057,0.8057,0.1999,-78.5592,91.4810,91.4969,-78.5729
btc-updown-5m-1780095300,1780095322000,278,73352.19,73449.76,97.57,0.0000,0.0000,0.0000,0.0592,0.0000,0.6150,0.002825,0.0330,0.0000,73446.00,0.0000,0.0051,0.0000,0.0000,0.5400,31.16,0.5300,70.83,0.5200,50.73,0.5100,68.00,0.5000,100.00,0.5500,235.31,0.5600,394.00,0.5700,61.60,0.5800,46.00,0.5900,61.00,0.4500,235.31,0.4400,394.00,0.4300,61.60,0.4200,46.00,0.4100,61.00,0.4600,31.16,0.4700,70.83,0.4800,50.73,0.4900,68.00,0.5000,100.00,320.72,797.91,1118.63,797.91,320.72,1118.63,0.0100,0.0100,-0.4266,0.4266,0.5412,0.4588,0.3180,0.7887,0.7887,0.3180,18.0516,-73.0974,-91.8430,16.8464
btc-updown-5m-1780095300,1780095323000,277,73352.48,73449.76,97.28,0.0000,0.0000,0.0000,0.0592,0.0000,0.6150,0.002825,0.0326,0.0000,73446.16,0.0000,0.0049,0.0000,0.0000,0.5400,22.48,0.5300,95.19,0.5200,31.37,0.5100,76.00,0.5000,100.00,0.5500,236.29,0.5600,399.00,0.5700,61.60,0.5800,46.00,0.5900,61.00,0.4500,236.29,0.4400,399.00,0.4300,61.60,0.4200,46.00,0.4100,61.00,0.4600,22.48,0.4700,95.19,0.4800,31.37,0.4900,76.00,0.5000,100.00,325.04,803.89,1128.93,803.89,325.04,1128.93,0.0100,0.0100,-0.4242,0.4242,0.5409,0.4591,0.3620,0.7903,0.7903,0.3620,26.4190,-46.5576,-46.5576,26.4190
btc-updown-5m-1780095300,1780095324000,276,73352.49,73449.75,97.26,-0.0000,-0.0000,0.0199,0.0205,0.0020,0.6150,0.002825,0.0333,0.5986,73446.23,-0.0000,0.0048,-0.0132,-0.0000,0.5300,31.74,0.5200,55.73,0.5100,76.00,0.5000,105.00,0.4900,88.48,0.5400,172.97,0.5500,103.55,0.5600,362.47,0.5700,56.00,0.5800,46.00,0.4600,172.97,0.4500,103.55,0.4400,362.47,0.4300,56.00,0.4200,46.00,0.4700,31.74,0.4800,55.73,0.4900,76.00,0.5000,105.00,0.5100,88.48,356.95,740.99,1097.94,740.99,356.95,1097.94,0.0100,0.0100,-0.3498,0.3498,0.5316,0.4684,0.2450,0.3732,0.3732,0.2450,21.6091,-38.1580,-38.1704,21.6162
btc-updown-5m-1780095300,1780095325000,275,73352.49,73449.75,97.26,0.0000,-0.0000,0.0001,0.0201,0.0020,0.6150,0.002825,0.0327,0.0024,73446.48,-0.0000,0.0044,0.0000,0.0000,0.5300,26.93,0.5200,39.36,0.5100,56.00,0.5000,85.00,0.4900,81.00,0.5400,152.24,0.5500,88.55,0.5600,357.47,0.5700,56.00,0.5800,46.00,0.4600,152.24,0.4500,88.55,0.4400,357.47,0.4300,56.00,0.4200,46.00,0.4700,26.93,0.4800,39.36,0.4900,56.00,0.5000,85.00,0.5100,81.00,288.29,700.26,988.55,700.26,288.29,988.55,0.0100,0.0100,-0.4167,0.4167,0.5315,0.4685,0.2299,0.3439,0.3439,0.2299,-2.7254,-33.3495,-33.3495,-2.7254
btc-updown-5m-1780095300,1780095326000,274,73352.49,73449.75,97.26,0.0000,-0.0000,0.0000,0.0200,0.0020,0.6150,0.002825,0.0327,0.0000,73446.48,-0.0000,0.0044,0.0000,0.0000,0.5300,36.01,0.5200,101.36,0.5100,80.00,0.5000,61.00,0.4900,81.00,0.5400,103.77,0.5500,93.55,0.5600,357.47,0.5700,56.00,0.5800,51.73,0.4600,103.77,0.4500,93.55,0.4400,357.47,0.4300,56.00,0.4200,51.73,0.4700,36.01,0.4800,101.36,0.4900,80.00,0.5000,61.00,0.5100,81.00,359.37,662.52,1021.89,662.52,359.37,1021.89,0.0100,0.0100,-0.2967,0.2967,0.5326,0.4674,0.3823,0.2978,0.2978,0.3823,6.5062,-32.0444,-32.0496,6.5072
btc-updown-5m-1780095300,1780095327000,273,73352.56,73449.75,97.19,0.0000,-0.0000,0.0001,0.0201,0.0020,0.6147,0.002825,0.0327,0.0028,73446.48,0.0000,0.0044,0.0000,0.0000,0.5300,26.83,0.5200,50.00,0.5100,85.00,0.5000,61.00,0.4900,81.00,0.5400,391.48,0.5500,108.90,0.5600,347.00,0.5700,56.00,0.5800,46.00,0.4600,391.48,0.4500,108.90,0.4400,347.00,0.4300,56.00,0.4200,46.00,0.4700,26.83,0.4800,50.00,0.4900,85.00,0.5000,61.00,0.5100,81.00,303.83,949.38,1253.21,949.38,303.83,1253.21,0.0100,0.0100,-0.5151,0.5151,0.5306,0.4694,0.2529,0.5271,0.5271,0.2529,10.2028,28.7316,28.7210,10.1990
btc-updown-5m-1780095300,1780095328000,272,73352.39,73449.75,97.36,0.0000,-0.0000,0.0000,0.0201,0.0020,0.6143,0.002825,0.0327,0.0000,73446.51,0.0000,0.0044,0.0000,0.0000,0.5200,3.02,0.5100,75.51,0.5000,55.00,0.4900,519.36,0.4800,73.00,0.5300,230.33,0.5400,113.00,0.5500,59.85,0.5600,347.00,0.5700,71.00,0.4700,230.33,0.4600,113.00,0.4500,59.85,0.4400,347.00,0.4300,71.00,0.4800,3.02,0.4900,75.51,0.5000,55.00,0.5100,519.36,0.5200,73.00,725.89,821.18,1547.07,821.18,725.89,1547.07,0.0100,0.0100,-0.0616,0.0616,0.5201,0.4799,0.1082,0.4181,0.4181,0.1082,68.8210,6.5099,6.5099,68.8210
