market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780094700,1780094701000,299,73369.78,73466.05,96.27,0.0000,-0.0100,0.0087,1.3493,1.4740,0.7240,0.003939,0.0646,0.1347,73468.41,-0.0006,-0.0032,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780094700,1780094702000,298,73369.84,73466.06,96.22,0.0000,-0.0006,0.0003,0.0232,0.0880,0.7243,0.003939,0.0646,0.0040,73468.42,-0.0005,-0.0032,0.0131,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780094700,1780094703000,297,73369.83,73466.05,96.22,-0.0000,-0.0000,0.0054,0.0237,0.0080,0.7247,0.003939,0.0648,0.0832,73468.41,-0.0000,-0.0032,-0.0131,-0.0000,0.5100,145.49,0.5000,242.81,0.4900,116.00,0.4800,141.00,0.4700,137.00,0.5200,30.00,0.5300,80.00,0.5400,58.00,0.5500,130.83,0.5600,126.39,0.4800,30.00,0.4700,80.00,0.4600,58.00,0.4500,130.83,0.4400,126.39,0.4900,145.49,0.5000,242.81,0.5100,116.00,0.5200,141.00,0.5300,137.00,782.30,425.22,1207.52,425.22,782.30,1207.52,0.0100,0.0100,0.2957,-0.2957,0.5183,0.4817,0.4964,0.2587,0.2587,0.4964,-16.0798,-340.8568,-340.4572,-16.0610
btc-updown-5m-1780094700,1780094704000,296,73369.83,73466.05,96.22,0.0000,-0.0000,0.0435,0.0589,0.0100,0.7247,0.003939,0.0662,0.6582,73468.36,-0.0000,-0.0032,0.0000,0.0000,0.5100,109.54,0.5000,242.81,0.4900,121.00,0.4800,146.34,0.4700,131.00,0.5200,94.62,0.5300,99.19,0.5400,50.00,0.5500,140.95,0.5600,104.00,0.4800,94.62,0.4700,99.19,0.4600,50.00,0.4500,140.95,0.4400,104.00,0.4900,109.54,0.5000,242.81,0.5100,121.00,0.5200,146.34,0.5300,131.00,750.69,488.76,1239.45,488.76,750.69,1239.45,0.0100,0.0100,0.2113,-0.2113,0.5154,0.4846,0.4694,0.3965,0.3965,0.4694,-35.5094,-177.7978,-177.6586,-35.4816
btc-updown-5m-1780094700,1780094705000,295,73369.80,73466.05,96.25,0.0000,0.0000,0.0173,0.0752,0.0080,0.7247,0.003939,0.0654,0.2649,73468.53,-0.0000,-0.0034,0.0000,0.0000,0.5100,80.92,0.5000,242.81,0.4900,116.00,0.4800,121.00,0.4700,167.25,0.5200,211.41,0.5300,100.00,0.5400,76.00,0.5500,145.83,0.5600,134.00,0.4800,211.41,0.4700,100.00,0.4600,76.00,0.4500,145.83,0.4400,134.00,0.4900,80.92,0.5000,242.81,0.5100,116.00,0.5200,121.00,0.5300,167.25,727.98,667.24,1395.22,667.24,727.98,1395.22,0.0100,0.0100,0.0435,-0.0435,0.5128,0.4872,0.4447,0.4667,0.4667,0.4447,-24.6093,-17.5072,-17.5072,-24.6093
btc-updown-5m-1780094700,1780094706000,294,73369.80,73466.05,96.25,0.0000,0.0000,0.0022,0.0687,0.0080,0.7247,0.003939,0.0655,0.0336,73468.53,-0.0000,-0.0034,0.0000,0.0000,0.5100,72.56,0.5000,242.81,0.4900,116.00,0.4800,126.00,0.4700,162.25,0.5200,372.08,0.5300,108.00,0.5400,114.17,0.5500,160.83,0.5600,168.75,0.4800,372.08,0.4700,108.00,0.4600,114.17,0.4500,160.83,0.4400,168.75,0.4900,72.56,0.5000,242.81,0.5100,116.00,0.5200,126.00,0.5300,162.25,719.62,923.83,1643.45,923.83,719.62,1643.45,0.0100,0.0100,-0.1243,0.1243,0.5116,0.4884,0.4382,0.5197,0.5197,0.4382,-20.5433,55.9978,55.9828,-20.5378
btc-updown-5m-1780094700,1780094707000,293,73369.80,73466.06,96.26,0.0000,0.0000,0.0005,0.0690,0.0080,0.7250,0.003939,0.0654,0.0076,73468.54,0.0000,-0.0034,0.0131,0.0000,0.5000,191.83,0.4900,136.00,0.4800,151.00,0.4700,198.25,0.4600,272.00,0.5100,282.56,0.5200,132.12,0.5300,108.00,0.5400,169.17,0.5500,170.83,0.4900,282.56,0.4800,132.12,0.4700,108.00,0.4600,169.17,0.4500,170.83,0.5000,191.83,0.5100,136.00,0.5200,151.00,0.5300,198.25,0.5400,272.00,949.08,862.68,1811.76,862.68,949.08,1811.76,0.0100,0.0100,0.0477,-0.0477,0.5040,0.4960,0.3454,0.4807,0.4807,0.3454,31.1645,29.9369,29.9247,31.1518
btc-updown-5m-1780094700,1780094708000,292,73369.81,73466.06,96.25,0.0000,0.0000,0.0000,0.0636,0.0060,0.2483,0.001695,0.0654,0.0000,73468.54,0.0000,-0.0034,0.0000,0.0000,0.5000,123.67,0.4900,141.00,0.4800,151.00,0.4700,198.25,0.4600,272.00,0.5100,296.14,0.5200,165.12,0.5300,171.00,0.5400,139.17,0.5500,195.83,0.4900,296.14,0.4800,165.12,0.4700,171.00,0.4600,139.17,0.4500,195.83,0.5000,123.67,0.5100,141.00,0.5200,151.00,0.5300,198.25,0.5400,272.00,885.92,967.26,1853.18,967.26,885.92,1853.18,0.0100,0.0100,-0.0439,0.0439,0.5029,0.4971,0.2988,0.4769,0.4769,0.2988,15.5544,43.5271,43.5195,15.5517
btc-updown-5m-1780094700,1780094709000,291,73369.81,73466.06,96.25,0.0000,0.0000,0.0002,0.0203,0.0040,0.2480,0.001695,0.0524,0.0046,73467.32,0.0000,-0.0017,0.0000,0.0000,0.5000,130.67,0.4900,153.00,0.4800,151.00,0.4700,198.25,0.4600,272.00,0.5100,227.13,0.5200,113.12,0.5300,156.00,0.5400,139.17,0.5500,180.83,0.4900,227.13,0.4800,113.12,0.4700,156.00,0.4600,139.17,0.4500,180.83,0.5000,130.67,0.5100,153.00,0.5200,151.00,0.5300,198.25,0.5400,272.00,904.92,816.25,1721.17,816.25,904.92,1721.17,0.0100,0.0100,0.0515,-0.0515,0.5037,0.4963,0.3135,0.4168,0.4168,0.3135,21.1596,67.4771,67.4771,21.1596
btc-updown-5m-1780094700,1780094710000,290,73369.81,73466.06,96.25,0.0000,0.0000,0.0000,0.0029,0.0040,0.2480,0.001695,0.0514,0.0000,73467.21,0.0000,-0.0016,0.0000,0.0000,0.5000,130.67,0.4900,153.00,0.4800,151.00,0.4700,198.25,0.4600,272.00,0.5100,227.13,0.5200,113.12,0.5300,156.00,0.5400,139.17,0.5500,180.83,0.4900,227.13,0.4800,113.12,0.4700,156.00,0.4600,139.17,0.4500,180.83,0.5000,130.67,0.5100,153.00,0.5200,151.00,0.5300,198.25,0.5400,272.00,904.92,816.25,1721.17,816.25,904.92,1721.17,0.0100,0.0100,0.0515,-0.0515,0.5037,0.4963,0.3135,0.4168,0.4168,0.3135,55.2488,27.4193,27.4126,55.2354
btc-updown-5m-1780094700,1780094711000,289,73369.81,73466.06,96.25,0.0000,0.0000,0.0000,0.0007,0.0020,0.2477,0.001695,0.0514,0.0000,73467.21,0.0000,-0.0016,0.0000,0.0000,0.5000,133.33,0.4900,143.00,0.4800,176.75,0.4700,187.00,0.4600,373.25,0.5100,372.13,0.5200,77.22,0.5300,106.00,0.5400,73.00,0.5500,162.83,0.4900,372.13,0.4800,77.22,0.4700,106.00,0.4600,73.00,0.4500,162.83,0.5000,133.33,0.5100,143.00,0.5200,176.75,0.5300,187.00,0.5400,373.25,1013.33,791.18,1804.51,791.18,1013.33,1804.51,0.0100,0.0100,0.1231,-0.1231,0.5026,0.4974,0.2727,0.5679,0.5679,0.2727,47.6536,14.1967,14.1920,47.6377
btc-updown-5m-1780094700,1780094712000,288,73369.77,73466.06,96.29,0.0000,0.0000,0.0009,0.0011,0.0000,0.2477,0.001695,0.0471,0.0189,73466.63,0.0000,-0.0008,0.0000,0.0000,0.5000,105.91,0.4900,148.00,0.4800,215.91,0.4700,187.00,0.4600,327.00,0.5100,462.13,0.5200,139.22,0.5300,111.50,0.5400,79.00,0.5500,176.07,0.4900,462.13,0.4800,139.22,0.4700,111.50,0.4600,79.00,0.4500,176.07,0.5000,105.91,0.5100,148.00,0.5200,215.91,0.5300,187.00,0.5400,327.00,983.82,967.92,1951.74,967.92,983.82,1951.74,0.0100,0.0100,0.0081,-0.0081,0.5019,0.4981,0.2581,0.6213,0.6213,0.2581,53.8097,18.7641,18.7641,53.8097
btc-updown-5m-1780094700,1780094713000,287,73369.58,73466.06,96.48,0.0000,0.0000,0.0001,0.0012,0.0000,0.2477,0.001695,0.0471,0.0013,73466.63,0.0000,-0.0008,0.0000,0.0000,0.4900,189.21,0.4800,237.19,0.4700,226.00,0.4600,308.00,0.4500,271.00,0.5000,192.13,0.5100,227.00,0.5200,153.22,0.5300,133.64,0.5400,109.00,0.5000,192.13,0.4900,227.00,0.4800,153.22,0.4700,133.64,0.4600,109.00,0.5100,189.21,0.5200,237.19,0.5300,226.00,0.5400,308.00,0.5500,271.00,1231.40,814.99,2046.39,814.99,1231.40,2046.39,0.0100,0.0100,0.2035,-0.2035,0.4950,0.5050,0.3463,0.5143,0.5143,0.3463,47.5687,-8.0354,-8.0367,47.5767
btc-updown-5m-1780094700,1780094714000,286,73369.63,73466.06,96.43,0.0000,0.0000,0.0450,0.0460,0.0000,0.2473,0.001695,0.0485,0.9280,73466.61,0.0000,-0.0008,0.0000,0.0000,0.4900,189.21,0.4800,237.19,0.4700,226.00,0.4600,308.00,0.4500,271.00,0.5000,192.13,0.5100,227.00,0.5200,153.22,0.5300,133.64,0.5400,109.00,0.5000,192.13,0.4900,227.00,0.4800,153.22,0.4700,133.64,0.4600,109.00,0.5100,189.21,0.5200,237.19,0.5300,226.00,0.5400,308.00,0.5500,271.00,1231.40,814.99,2046.39,814.99,1231.40,2046.39,0.0100,0.0100,0.2035,-0.2035,0.4950,0.5050,0.3463,0.5143,0.5143,0.3463,68.1958,-30.0572,-30.0572,68.1958
btc-updown-5m-1780094700,1780094715000,285,73369.67,73466.06,96.39,0.0000,0.0000,0.1008,0.1468,0.0020,0.2477,0.001695,0.0506,1.9929,73466.42,0.0000,-0.0005,0.0000,0.0000,0.5800,305.30,0.5700,304.00,0.5600,363.00,0.5500,222.07,0.5400,201.00,0.5900,44.89,0.6000,65.00,0.6100,50.00,0.6200,50.00,0.6300,97.17,0.4100,44.89,0.4000,65.00,0.3900,50.00,0.3800,50.00,0.3700,97.17,0.4200,305.30,0.4300,304.00,0.4400,363.00,0.4500,222.07,0.4600,201.00,1395.37,307.06,1702.43,307.06,1395.37,1702.43,0.0100,0.0100,0.6393,-0.6393,0.5887,0.4113,0.4367,0.3579,0.3579,0.4367,54.8529,-89.1008,-89.1008,54.8529
btc-updown-5m-1780094700,1780094716000,284,73370.55,73466.06,95.51,0.0000,0.0000,0.0043,0.1511,0.0020,0.2477,0.001695,0.0507,0.0846,73466.42,0.0000,-0.0005,0.0000,0.0000,0.5800,540.26,0.5700,226.00,0.5600,247.00,0.5500,218.99,0.5400,202.00,0.6000,13.33,0.6100,15.00,0.6200,51.01,0.6300,75.00,0.6400,60.00,0.4000,13.33,0.3900,15.00,0.3800,51.01,0.3700,75.00,0.3600,60.00,0.4200,540.26,0.4300,226.00,0.4400,247.00,0.4500,218.99,0.4600,202.00,1434.25,214.34,1648.59,214.34,1434.25,1648.59,0.0200,0.0200,0.7400,-0.7400,0.5995,0.4005,0.5343,0.1322,0.1322,0.5343,52.0076,-89.6047,-89.6047,52.0076
