market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780096500,1780096502000,298,73316.12,73415.20,99.08,0.0000,0.0000,0.0003,0.3547,0.0080,0.3657,0.002660,0.0516,0.0050,73415.85,0.0000,-0.0009,0.0135,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780096500,1780096503000,297,73317.15,73415.19,98.04,-0.0000,0.0000,0.0024,0.3480,0.0080,0.3660,0.002660,0.0517,0.0462,73415.85,-0.0000,-0.0009,-0.0134,-0.0000,0.5600,263.07,0.5500,153.00,0.5400,126.00,0.5300,288.44,0.5200,163.00,0.5700,47.94,0.5800,55.52,0.5900,96.39,0.6000,74.00,0.6100,124.00,0.4300,47.94,0.4200,55.52,0.4100,96.39,0.4000,74.00,0.3900,124.00,0.4400,263.07,0.4500,153.00,0.4600,126.00,0.4700,288.44,0.4800,163.00,993.51,397.85,1391.36,397.85,993.51,1391.36,0.0100,0.0100,0.4281,-0.4281,0.5685,0.4315,0.4188,0.2600,0.2600,0.4188,244.9268,147.5661,147.1345,244.2105
btc-updown-5m-1780096500,1780096504000,296,73318.29,73415.20,96.91,0.0000,0.0000,0.0509,0.3978,0.0100,0.3660,0.002660,0.0533,0.9542,73415.83,0.0000,-0.0009,0.0132,0.0000,0.5700,260.19,0.5600,166.74,0.5500,141.00,0.5400,132.00,0.5300,283.44,0.5800,48.00,0.5900,86.05,0.6000,84.00,0.6100,124.00,0.6200,229.00,0.4200,48.00,0.4100,86.05,0.4000,84.00,0.3900,124.00,0.3800,229.00,0.4300,260.19,0.4400,166.74,0.4500,141.00,0.4600,132.00,0.4700,283.44,983.37,571.05,1554.42,571.05,983.37,1554.42,0.0100,0.0100,0.2653,-0.2653,0.5784,0.4216,0.4341,0.2347,0.2347,0.4341,61.1500,186.2667,186.1116,61.0991
btc-updown-5m-1780096500,1780096505000,295,73318.29,73415.20,96.91,0.0000,0.0000,0.0000,0.0570,0.0080,0.3660,0.002660,0.0503,0.0000,73415.21,0.0000,-0.0000,0.0000,0.0000,0.5800,73.37,0.5700,66.00,0.5600,72.55,0.5500,91.00,0.5400,66.00,0.5900,141.05,0.6000,144.00,0.6100,184.95,0.6200,289.00,0.6300,135.00,0.4100,141.05,0.4000,144.00,0.3900,184.95,0.3800,289.00,0.3700,135.00,0.4200,73.37,0.4300,66.00,0.4400,72.55,0.4500,91.00,0.4600,66.00,368.92,894.00,1262.92,894.00,368.92,1262.92,0.0100,0.0100,-0.4158,0.4158,0.5834,0.4166,0.3778,0.3188,0.3188,0.3778,-229.6562,231.9482,232.0467,-229.7537
btc-updown-5m-1780096500,1780096506000,294,73318.45,73431.99,113.54,0.0229,0.0229,0.4845,0.5381,3.3660,0.9260,0.004968,0.0658,7.3585,73419.18,0.0024,0.0174,25.9657,0.0004,0.5800,55.82,0.5700,38.00,0.5600,88.55,0.5500,91.00,0.5400,66.00,0.5900,249.47,0.6000,144.80,0.6100,184.41,0.6200,289.00,0.6300,135.66,0.4100,249.47,0.4000,144.80,0.3900,184.41,0.3800,289.00,0.3700,135.66,0.4200,55.82,0.4300,38.00,0.4400,88.55,0.4500,91.00,0.4600,66.00,339.37,1003.34,1342.71,1003.34,339.37,1342.71,0.0100,0.0100,-0.4945,0.4945,0.5818,0.4182,0.2765,0.3930,0.3930,0.2765,-211.4191,242.9826,242.8926,-211.3407
btc-updown-5m-1780096500,1780096507000,293,73320.23,73431.99,111.76,0.0000,0.0229,0.0000,0.5378,3.3640,0.9260,0.004968,0.0658,0.0000,73419.18,0.0023,0.0174,0.0000,0.0000,0.6700,30.00,0.6600,150.90,0.6500,55.00,0.6400,55.00,0.6300,284.74,0.7000,8.34,0.7100,8.00,0.7200,13.00,0.7300,8.00,0.7400,105.00,0.3000,8.34,0.2900,8.00,0.2800,13.00,0.2700,8.00,0.2600,105.00,0.3300,30.00,0.3400,150.90,0.3500,55.00,0.3600,55.00,0.3700,284.74,575.64,142.34,717.98,142.34,575.64,717.98,0.0300,0.0300,0.6035,-0.6035,0.6935,0.3065,0.3143,0.1148,0.1148,0.3143,-76.7210,-47.0835,-47.0835,-76.7210
btc-updown-5m-1780096500,1780096508000,292,73324.76,73431.99,107.23,0.0000,0.0229,0.0000,0.5354,3.3620,0.9257,0.004968,0.0658,0.0000,73419.18,0.0023,0.0174,0.0000,0.0000,0.6800,307.58,0.6700,96.00,0.6600,211.00,0.6500,136.00,0.6400,146.00,0.6900,121.92,0.7000,18.34,0.7100,8.00,0.7200,18.00,0.7300,28.00,0.3100,121.92,0.3000,18.34,0.2900,8.00,0.2800,18.00,0.2700,28.00,0.3200,307.58,0.3300,96.00,0.3400,211.00,0.3500,136.00,0.3600,146.00,896.58,194.26,1090.84,194.26,896.58,1090.84,0.0100,0.0100,0.6438,-0.6438,0.6872,0.3128,0.4501,0.7220,0.7220,0.4501,-2.8477,-32.5483,-32.5414,-2.8471
btc-updown-5m-1780096500,1780096509000,291,73334.98,73431.99,97.01,0.0000,0.0229,0.0029,0.4874,3.3620,0.5633,0.004105,0.0659,0.0437,73419.20,0.0022,0.0174,0.0000,0.0000,0.6800,107.27,0.6700,66.00,0.6600,161.00,0.6500,86.00,0.6400,116.00,0.6900,123.73,0.7000,38.34,0.7100,38.00,0.7200,43.00,0.7300,48.00,0.3100,123.73,0.3000,38.34,0.2900,38.00,0.2800,43.00,0.2700,48.00,0.3200,107.27,0.3300,66.00,0.3400,161.00,0.3500,86.00,0.3600,116.00,536.27,291.07,827.34,291.07,536.27,827.34,0.0100,0.0100,0.2964,-0.2964,0.6846,0.3154,0.3231,0.5568,0.5568,0.3231,-74.7980,-17.4677,-17.4734,-74.8225
btc-updown-5m-1780096500,1780096510000,290,73335.05,73431.99,96.94,0.0000,0.0229,0.0005,0.4879,3.3620,0.5630,0.004105,0.0330,0.0157,73423.20,0.0000,0.0120,0.0000,0.0000,0.6700,79.45,0.6600,83.00,0.6500,56.34,0.6400,87.00,0.6300,101.10,0.6800,292.04,0.6900,164.12,0.7000,176.36,0.7100,189.00,0.7200,134.97,0.3200,292.04,0.3100,164.12,0.3000,176.36,0.2900,189.00,0.2800,134.97,0.3300,79.45,0.3400,83.00,0.3500,56.34,0.3600,87.00,0.3700,101.10,406.89,956.49,1363.38,956.49,406.89,1363.38,0.0100,0.0100,-0.4031,0.4031,0.6721,0.3279,0.3992,0.4769,0.4769,0.3992,-86.6457,68.2110,68.2110,-86.6457
btc-updown-5m-1780096500,1780096511000,289,73334.36,73431.99,97.63,0.0000,0.0000,0.0123,0.0157,0.0020,0.5630,0.004105,0.0334,0.3698,73423.32,0.0000,0.0118,0.0000,0.0000,0.6700,36.61,0.6600,98.00,0.6500,51.00,0.6400,102.00,0.6300,96.00,0.6800,322.32,0.6900,219.11,0.7000,204.36,0.7100,189.00,0.7200,169.00,0.3200,322.32,0.3100,219.11,0.3000,204.36,0.2900,189.00,0.2800,169.00,0.3300,36.61,0.3400,98.00,0.3500,51.00,0.3600,102.00,0.3700,96.00,383.61,1103.79,1487.40,1103.79,383.61,1487.40,0.0100,0.0100,-0.4842,0.4842,0.6710,0.3290,0.3509,0.4905,0.4905,0.3509,2.4305,34.7105,34.6932,2.4293
