market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780094400,1780094401000,299,73360.17,73457.58,97.41,0.0000,-0.0093,0.0000,0.3594,1.3640,0.2307,0.001662,0.0212,0.0000,73460.67,0.0000,-0.0042,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780094400,1780094402000,298,73360.18,73457.57,97.39,-0.0000,-0.0000,0.0065,0.0185,0.0060,0.2307,0.001661,0.0214,0.3014,73460.64,-0.0000,-0.0042,-0.0133,-0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780094400,1780094403000,297,73360.18,73457.57,97.39,0.0000,-0.0000,0.0000,0.0185,0.0060,0.2307,0.001661,0.0214,0.0000,73460.64,-0.0000,-0.0042,0.0000,0.0000,0.3900,112.31,0.3800,117.65,0.3700,99.78,0.3600,131.55,0.3500,147.05,0.4000,250.84,0.4100,48.71,0.4200,347.70,0.4300,141.65,0.4400,434.18,0.6000,250.84,0.5900,48.71,0.5800,347.70,0.5700,141.65,0.5600,434.18,0.6100,112.31,0.6200,117.65,0.6300,99.78,0.6400,131.55,0.6500,147.05,608.34,1223.08,1831.42,1223.08,608.34,1831.42,0.0100,0.0100,-0.3357,0.3357,0.3931,0.6069,0.3780,0.2449,0.2449,0.3780,49.5927,417.6405,418.2279,49.6624
btc-updown-5m-1780094400,1780094404000,296,73360.18,73457.58,97.40,0.0000,0.0000,0.0699,0.0781,0.0060,0.2310,0.001662,0.0236,2.9603,73460.34,0.0000,-0.0038,0.0133,0.0000,0.4100,312.73,0.4000,118.44,0.3900,106.66,0.3800,127.65,0.3700,92.06,0.4200,52.58,0.4300,95.65,0.4400,388.18,0.4500,110.74,0.4600,31.00,0.5800,52.58,0.5700,95.65,0.5600,388.18,0.5500,110.74,0.5400,31.00,0.5900,312.73,0.6000,118.44,0.6100,106.66,0.6200,127.65,0.6300,92.06,757.54,678.15,1435.69,678.15,757.54,1435.69,0.0100,0.0100,0.0553,-0.0553,0.4186,0.5814,0.5692,0.2186,0.2186,0.5692,106.0402,-142.2816,-142.3634,106.1012
btc-updown-5m-1780094400,1780094405000,295,73360.34,73471.99,111.65,0.0196,0.0196,1.9948,2.0712,2.8860,0.7113,0.003945,0.0880,22.6756,73468.86,0.0007,0.0043,21.9014,0.0003,0.4600,487.69,0.4500,107.00,0.4400,81.00,0.4300,184.43,0.4200,131.00,0.4700,151.81,0.4800,221.22,0.4900,350.88,0.5000,266.00,0.5100,9.34,0.5300,151.81,0.5200,221.22,0.5100,350.88,0.5000,266.00,0.4900,9.34,0.5400,487.69,0.5500,107.00,0.5600,81.00,0.5700,184.43,0.5800,131.00,991.12,999.25,1990.37,999.25,991.12,1990.37,0.0100,0.0100,-0.0041,0.0041,0.4676,0.5324,0.6000,0.3733,0.3733,0.6000,160.3721,28.2048,28.2157,160.4336
btc-updown-5m-1780094400,1780094406000,294,73360.43,73472.00,111.57,0.0000,0.0196,0.0023,2.0734,2.8880,0.7117,0.003945,0.0880,0.0257,73468.86,0.0007,0.0043,0.0152,0.0000,0.4900,82.46,0.4800,298.14,0.4700,338.25,0.4600,292.54,0.4500,136.00,0.5000,61.76,0.5100,84.34,0.5200,45.00,0.5300,6.00,0.5500,14.00,0.5000,61.76,0.4900,84.34,0.4800,45.00,0.4700,6.00,0.4500,14.00,0.5100,82.46,0.5200,298.14,0.5300,338.25,0.5400,292.54,0.5500,136.00,1147.39,211.10,1358.49,211.10,1147.39,1358.49,0.0100,0.0100,0.6892,-0.6892,0.4957,0.5043,0.3317,0.6921,0.6921,0.3317,153.7778,-191.3307,-191.3819,153.8190
btc-updown-5m-1780094400,1780094407000,293,73368.68,73471.99,103.31,-0.0000,0.0196,0.0042,2.0712,2.8880,0.7120,0.003945,0.0882,0.0481,73468.87,0.0007,0.0042,-0.0141,-0.0000,0.5100,60.42,0.5000,201.13,0.4900,294.76,0.4800,145.08,0.4700,141.63,0.5300,90.00,0.5500,24.00,0.5600,5.68,0.5900,40.00,0.6000,10.00,0.4700,90.00,0.4500,24.00,0.4400,5.68,0.4100,40.00,0.4000,10.00,0.4900,60.42,0.5000,201.13,0.5100,294.76,0.5200,145.08,0.5300,141.63,843.02,169.68,1012.70,169.68,843.02,1012.70,0.0200,0.0200,0.6649,-0.6649,0.5180,0.4820,0.3103,0.6719,0.6719,0.3103,-7.9458,-220.5423,-220.6831,-7.9508
btc-updown-5m-1780094400,1780094408000,292,73373.38,73471.99,98.61,0.0000,0.0196,0.0000,2.0712,2.8880,0.7117,0.003945,0.0882,0.0000,73468.87,0.0007,0.0042,0.0000,0.0000,0.5600,276.50,0.5500,106.00,0.5400,146.00,0.5300,156.00,0.5200,165.85,0.5700,41.94,0.5800,40.00,0.5900,50.00,0.6000,40.00,0.6100,56.00,0.4300,41.94,0.4200,40.00,0.4100,50.00,0.4000,40.00,0.3900,56.00,0.4400,276.50,0.4500,106.00,0.4600,146.00,0.4700,156.00,0.4800,165.85,850.35,227.94,1078.29,227.94,850.35,1078.29,0.0100,0.0100,0.5772,-0.5772,0.5687,0.4313,0.4498,0.3595,0.3595,0.4498,-90.8438,-87.7485,-87.7485,-90.8438
btc-updown-5m-1780094400,1780094409000,291,73376.14,73471.99,95.85,0.0000,0.0196,0.0000,2.0013,2.8860,0.7113,0.003945,0.0882,0.0000,73468.87,0.0007,0.0042,0.0000,0.0000,0.5700,301.24,0.5600,161.00,0.5500,138.00,0.5400,173.39,0.5300,181.75,0.5800,45.00,0.5900,55.00,0.6000,45.00,0.6100,45.00,0.6200,71.70,0.4200,45.00,0.4100,55.00,0.4000,45.00,0.3900,45.00,0.3800,71.70,0.4300,301.24,0.4400,161.00,0.4500,138.00,0.4600,173.39,0.4700,181.75,955.38,261.70,1217.08,261.70,955.38,1217.08,0.0100,0.0100,0.5700,-0.5700,0.5787,0.4213,0.4838,0.3821,0.3821,0.4838,-39.4081,0.6905,0.6903,-39.3960
btc-updown-5m-1780094400,1780094410000,290,73376.24,73472.00,95.76,0.0000,0.0000,0.0002,0.0067,0.0060,0.7113,0.003945,0.0851,0.0020,73469.03,0.0000,0.0040,0.0130,0.0000,0.5500,92.65,0.5400,147.89,0.5300,181.75,0.5200,160.85,0.5100,341.00,0.5800,45.36,0.5900,55.00,0.6000,90.27,0.6100,61.00,0.6200,66.00,0.4200,45.36,0.4100,55.00,0.4000,90.27,0.3900,61.00,0.3800,66.00,0.4500,92.65,0.4600,147.89,0.4700,181.75,0.4800,160.85,0.4900,341.00,924.14,317.63,1241.77,317.63,924.14,1241.77,0.0300,0.0300,0.4884,-0.4884,0.5701,0.4299,0.2603,0.3160,0.3160,0.2603,-47.2712,61.3820,61.3820,-47.2712
